詞目id,漢字,異用字
10269,閘屏,柵屏
10269,閘屏,截屏
10270,閘風,截風
10276,閘路,截路
10282,雺,濛
10282,雺,茫
10304,頓印,擲印
10308,飽呃,飽噎
10329,電塗,電土
10330,飽滇,飽淀
10351,雺霧,濛霧
10351,雺霧,茫霧
10354,鼎,鐤
10357,鼓井,古井
10363,鼎疕,鼎糒
10371,鼠麴粿,鼠殼粿
10371,鼠麴粿,鼠殼餜
10371,鼠麴粿,鼠麴餜
10377,厭,饜
10386,厭𤺪,饜𤺪
10394,僥倖錢,嬈倖錢
10395,厭氣,嚥氣
10395,厭氣,燕氣
10397,嘛欲,嘛要
10400,僭話,搢話
10401,嘛嘛吼,嗎嗎哭
10437,孵,伏
10437,孵,菢
10444,幔,𧜞
10462,孵岫,孵巢
10476,對喙,對嘴
10482,實腹,塞腹
10485,實鼻,寔鼻
10487,對數,對賬
10494,實櫼,塞櫼
10521,摠頭,總頭
10527,摻,攙
10545,敲油,扣油
10546,榫空,榫孔
10558,槌,鎚
10558,槌,椎
10566,滷,魯
10581,滷肉飯,魯肉飯
10631,漉喙,摝喙
10635,漉糊糜,路糊糜
10641,漲懸價,漲高價
10646,熔,鎔
10653,爾爾,耳耳
10681,箅,箄
10698,箅仔,箄仔
10699,粿仔,餜仔
10704,粿印,餜印
10710,種作,種做
10718,精牲,牲生
10720,精差,爭差
10724,算袂和,算𣍐和
10732,粿粞,餜粞
10732,粿粞,粿𥽕
10732,粿粞,餜𥽕
10736,算數,算賬
10737,管數,管賬
10739,粽箬,粽笚
10739,粽箬,粽籜
10754,綴人走,綴儂走
10770,罰徛,罰企
10770,罰徛,罰豎
10779,膎,鮭
10784,蓆,𥱊
10793,蓄厝,蓄茨
10847,賒數,賒賬
10867,鉸刀爿,鉸刀旁
10907,閣,擱
10907,閣,故
10909,閣再,擱再
10910,閣較,更較
10910,閣較,甲較
10910,閣較,閣卡
10910,閣較,擱較
10944,鼻目喙,鼻目嘴
10946,鼻空,鼻孔
10947,鼻空風,鼻孔風
10948,鼻芳,鼻香
10956,鼻翼,鼻翅
10961,劌,刲
10963,劍竹,箭竹
10967,劍筍,箭筍
10970,價數,價賬
10977,噗,烞
10978,噗,泡
10995,墜跤氣,墜腳氣
11000,噗薰,烞薰
11009,屧,塞
11022,屧手縫,塞手縫
11036,嬈花,嬲花
11039,廟埕,廟庭
11042,屧貼,塞貼
11053,撆,襒
11053,撆,彆
11065,撆手䘼,襒手䘼
11069,戮空,戮孔
11076,撆紮,襒紮
11090,撆褲跤,撇褲骹
11090,撆褲跤,撇褲腳
11090,撆褲跤,襒褲骹
11090,撆褲跤,襒褲腳
11093,撚寶,捻寶
11096,撚鑽,捻鑽
11105,數,賬
11119,數目,賬目
11122,數念,賬念
11123,數房,賬房
11130,數單,賬單
11135,數想,賬想
11142,暴穎,爆穎
11142,暴穎,暴芽
11144,數櫃,賬櫃
11145,數額,帳額
11146,數簿,賬簿
11162,樓仔厝,樓仔茨
11169,標致,標緻
11177,樓跤,樓骹
11177,樓跤,樓腳
11184,潲,韶
11184,潲,精
11194,熟似,熟姒
11194,熟似,熟視
11195,熟似人,熟似儂
11208,瘦,㾪
11210,盤,蹣
11211,熱人,熱儂
11217,瘦田,㾪田
11218,瘦肉,㾪肉
11220,瘦卑巴,㾪豍羓
11221,瘦抽,㾪抽
11228,盤喙錦,盤嘴錦
11229,瘦猴,㾪猴
11234,盤撋,蹣撋
11235,盤數,盤賬
11241,稻,粙
11246,窯,窰
11247,箠,棰
11248,箬,笚
11252,窮分,傾分
11257,磅米芳,磅米香
11259,磅空,磅孔
11263,稻草人,稻草儂
11289,緣投,嫣頭
11289,緣投,嫣投
11296,練痟話,練𤞚話
11314,膣屄,之屄
11320,蓬鬆,膨鬆
11320,蓬鬆,唪鬆
11334,蝨母,虱母
11339,蝦蛄擗仔,蝦蛄拍仔
11343,蔗箬,蔗笚
11343,蔗箬,蔗籜
11344,蝨篦,虱篦
11370,衝碰,沖碰
11396,踢,躂
11397,請人客,請儂客
11405,豬仔囝,豬仔子
11407,豬母奶仔,豬母乳仔
11416,豬灶,豬竈
11417,豬牢,豬椆
11417,豬牢,豬稠
11426,踏枋,踏板
11430,豬狗精牲,豬狗牲生
11447,踢被,躂被
11448,諍喙,諍嘴
11452,踢毽子,躂毽子
11457,豬跤,豬骹
11457,豬跤,豬腳
11458,豬跤箍,豬骹箍
11458,豬跤箍,豬腳箍
11460,豬跤麵線,豬骹麵線
11460,豬跤麵線,豬腳麵線
11468,豬頭爿,豬頭旁
11472,賤蟲,賤虫
11477,輪,碾
11477,輪,輾
11477,輪,輦
11480,遮,這
11481,遮,即
11489,輪仔,輾仔
11498,輪框,輾框
11503,踩街,彩街
11506,遮閘,遮截
11507,遮爾,即爾
11507,遮爾,則尼
11507,遮爾,者爾
11507,遮爾,遮呢
11507,遮爾,這呢
11508,遮爾仔,遮尼仔
11508,遮爾仔,這爾仔
11508,遮爾仔,即尼仔
11516,閬,曠
11517,閬工,曠工
11518,閬月,曠月
11527,閬縫,曠縫
11528,霆,陳
11537,駐,住
11542,霆水螺,陳水螺
11550,鞋抿仔,鞋笢仔
11550,鞋抿仔,鞋刡仔
11563,霆雷公,陳雷公
11579,齒抿仔,齒刡仔
11588,齒觳仔,齒殼仔
11589,齒戳仔,齒拓仔
11601,噤喙,噤嘴
11610,學人,學儂
11617,壅田,壅塍
11620,壁空,壁孔
11635,噷噷,默默
11651,擔,担
11659,擔仔麵,担仔麵
11700,橐,簏
11707,橐仔,簏仔
11708,樹奶,樹乳
11709,樹奶糖,樹乳糖
11719,橐袋仔,簏袋仔
11737,歕,噴
11738,澹,霑
11740,濁,醪
11744,歕火,噴火
11753,歕風,噴風
11763,澹漉漉,霑漉漉
11764,澹糊糊,霑糊糊
11765,歕觱仔,歕嗶仔
11766,歕雞胿,噴雞胿
11769,燃,烆
11781,燃火,烆火
11791,燃柴,烆柴
11792,燒烙,燒暖
11805,燖鍋,燖鍡
11818,瘸跤,瘸骹
11818,瘸跤,瘸腳
11846,窸倏,迅速
11846,窸倏,彳亍
11849,縛跤,縛骹
11849,縛跤,縛腳
11857,膨,胖
11867,膨疱,肨泡
11875,膨椅,肨椅
11885,褫,展
11888,褪赤跤,褪赤骹
11888,褪赤跤,脫赤腳
11895,褲跤,褲骹
11895,褲跤,褲腳
11898,褪褲𡳞,褪褲膦
11899,蕨貓,過貓
11906,賰,偆
11906,賰,伸
11910,親人,親儂
11921,貓兒竹,麻兒竹
11921,貓兒竹,貓猊竹
11934,親情,親成
11994,雕,彫
12019,錢鼠,氈鼠
12037,頭人,頭儂
12043,骿支骨,骿肢骨
12056,頭帛,頭白
12057,頭拄仔,頭抵仔
12064,頭疼,頭痛
12065,頭眩目暗,頭暈目暗
12076,頭路,投路
12080,頭麩,頭粕
12081,骿條,骿膫
12082,頷頸,頷䫀
12087,頭鬃尾,頭㨑尾
12096,鴨仔囝,鴨仔子
12099,鴨母喙,鴨母嘴
12102,鴨咪仔,鴨微仔
12103,龜祟,龜綏
12114,龜跤,龜骹
12114,龜跤,龜腳
12119,鴨鵤,鴨角
12119,鴨鵤,鴨公
12122,鴨鯗,鴨賞
12131,嚓嚓趒,雀雀趒
12160,壓味,押味
12166,應喙,應嘴
12167,應喙應舌,應嘴應舌
12177,擤鼻,凊鼻
12183,壓霸,惡霸
12192,檢采,檢採
12192,檢采,檢彩
12203,溼,濕
12216,濫使,亂使
12222,溼溼,濕濕
12224,濫糝,濫摻
12235,瞪力,殿力
12238,瞪屎,殿屎
12238,瞪屎,脹屎
12255,糞口蟲,糞口虫
12262,糝粉,摻粉
12267,糞埽市場,畚埽市場
12268,糞埽車,畚埽車
12269,糞埽桶,畚掃桶
12270,糞埽籠,畚掃籠
12279,篾蓆,篾𥱊
12282,總鋪,總舖
12288,翼,翅
12301,薅,摳
12310,翼股,翅股
12313,艱苦人,艱苦儂
12317,薅草,摳草
12336,蕗蕎,蕗藠
12347,薟,馦
12364,螿蜍,螿蠩
12365,薟薑仔,辛薑仔
12371,趨,趄
12385,賺食,賺噍
12385,賺食,賺吃
12400,蹌跤雞,蹌骹雞
12400,蹌跤雞,蹌腳雞
12401,講嘐潲話,講嘐韶話
12405,講親情,講親成
12425,還數,還賬
12428,輾轉,輪轉
12431,隱,煴
12434,隱弓蕉,隱金蕉
12434,隱弓蕉,隱芎蕉
12437,隱痀,隱龜
12446,鮮沢,鮮尺
12448,黜,托
12448,黜,拓
12457,黜仔,托仔
12457,黜仔,拓仔
12465,黏塗,粘土
12465,黏塗,粘塗
12466,黜塗機,拓土機
12474,嚙,囓
12480,擲,掞
12483,擽,搔
12488,擲㧒捔,掞㧒捔
12490,檫仔,擦仔
12490,檫仔,𢄧仔
12491,斷奶,斷乳
12499,攄塗機,攄土機
12503,擴頭,凸頭
12503,擴頭,廓頭
12513,爁日,爍日
12521,癗,瘤
12546,繡,綉
12559,薰吹,熏吹
12559,薰吹,煙吹
12564,薰屎,熏屎
12564,薰屎,煙屎
12582,薰頭,熏頭
12582,薰頭,煙頭
12594,蟲,虫
12603,蟯桮,蟯篦
12604,蟲豸,虫豸
12613,藃蟶,僥蟶
12613,藃蟶,翹坦
12616,蹛,帶
12616,蹛,滯
12618,軁,鑽
12622,轉,返
12626,轉外家,返外家
12629,豐沛,豐派
12631,軁狗空仔,軁狗孔仔
12632,轉後頭,返後頭
12634,轉喙,轉嘴
12637,蹔跤步,蹔骹步
12637,蹔跤步,蹔腳步
12642,軁錢空,趡錢孔
12644,轉臍,斷臍
12666,雙爿,雙旁
12669,雞仔囝,雞仔子
12672,雞母蟲,雞母虫
12684,雞牢,雞椆
12684,雞牢,雞稠
12686,雞卷,雞𩜇
12702,雜唸,雜念
12717,雞跤爪,雞腳爪
12733,離離落落,哩哩落落
12734,雞鵤,雞角
12754,餾粿,餾餜
12755,題緣,題捐
12764,鯊魚,沙魚
12767,嚨喉空,嚨喉孔
12778,櫥仔,廚仔
12784,寵倖,寵盛
12803,爍爁,爍乍
12803,爍爁,熠爁
12803,爍爁,熾爁
12803,爍爁,熠乍
12816,羹,焿
12844,蠍仔,蝎仔
12865,譀,䫲
12865,譀,幻
12865,譀,泛
12880,贊助,贈助
12888,譀浡,泛浮
12888,譀浡,䫲浡
12896,譀鏡,泛鏡
12899,鏨,斬
12922,鏨頭,斬頭
12929,騙囡仔,騙囝仔
12940,麴,麯
12963,懸,峘
12963,懸,高
12968,瀾,涎
12972,懸低,高低
12972,懸低,懸下
12972,懸低,高下
12973,懸山,高山
12979,瀾垂,涎垂
12980,懸度,高度
12983,懸價,高價
12984,攕擔,攕担
12985,礤,攃
12991,礤冰,攃冰
13004,礤簽,攃簽
13007,蠓,蚊
13012,蠓仔,蚊仔
13014,蠓仔水,蚊仔水
13015,蠓仔香,蚊仔香
13020,蘋果,蓬果
13028,蠓捽仔,蚊捽仔
13028,蠓捽仔,蠓摔仔
13028,蠓捽仔,蚊摔仔
13034,蠓罩,蚊罩
13040,蠓蟲,蚊蟲
13040,蠓蟲,蠓虫
13040,蠓蟲,蚊虫
13048,鰇魚,柔魚
13048,鰇魚,魷魚
13049,鰇魚羹,魷魚焿
13049,鰇魚羹,鰇魚焿
13058,鹹汫,鹹𩟗
13085,攑,揭
13085,攑,舉
13085,攑,擧
13087,櫼,掙
13092,癩𰣻,癩哥
13093,癩𰣻鬼,癩哥鬼
13094,癩𰣻爛癆,癩哥爛癆
13095,攑手,舉手
13095,攑手,擧手
13099,攝屎,懾屎
13102,囂俳,嬈俳
13104,爛塗,爛土
13105,爛塗糜,爛土糜
13108,攑箸,舉箸
13108,攑箸,擧箸
13110,攑頭,舉頭
13110,攑頭,擧頭
13111,攑懸,舉懸
13111,攑懸,擧懸
13118,襪仔,袜仔
13125,纏跤絆手,纏腳絆手
13125,纏跤絆手,纏骹絆手
13126,纏綴,纏跟
13126,纏綴,纏隨
13133,鐵人,鐵儂
13143,鐵枋,鐵板
13156,鐵鉎,鐵鏥
13181,魔神仔,墓神仔
13186,齧,囓
13193,攢,僎
13195,欉,叢
13200,彎來斡去,彎來拐去
13210,彎彎斡斡,彎彎拐拐
13213,疊,沓
13229,籗仔,筁仔
13232,讀冊人,讀冊儂
13240,聽喙,聽嘴
13254,鱉,鼈
13270,纓纏,絪纏
13270,纓纏,縈纏
13282,驚人,驚儂
13283,驚人,驚儂
13288,顯目,炫目
13289,驚生份,驚青份
13289,驚生份,驚生分
13289,驚生份,驚青分
13292,驚死人,驚死儂
13336,箅仔骨,骿仔骨
13342,靈厝,靈茨
13357,鱟𣁳仔,鱟戛仔
13363,鱟桸,鱟杓
13363,鱟桸,鱟瓠
13364,鬢跤,鬢骹
13364,鬢跤,鬢腳
13383,躡,企
13387,蠻皮,慢皮
13393,饞食,饞噍
13393,饞食,饞吃
13393,饞食,豺食
13412,戇,怣
13414,戇人,戇儂
13414,戇人,怣儂
13414,戇人,怣人
13415,戇大呆,怣大呆
13415,戇大呆,戇大獃
13415,戇大呆,怣大獃
13418,戇呆,戇獃
13418,戇呆,怣獃
13418,戇呆,怣呆
13420,戇直,怣直
13423,戇神,怣神
13425,戇想,怣想
13426,戇話,怣話
13428,戇頭戇面,怣頭怣面
13429,戇膽,怣膽
13430,戇戇,怣怣
13434,鬱傷,屈傷
13435,鬱歲,屈歲
13438,砛,岒
13438,砛,岑
13438,砛,坅
13439,砛仔,岒仔
13439,砛仔,岑仔
13439,砛仔,坅仔
13440,砛簷,岑簷
13440,砛簷,岒簷
13440,砛簷,坅簷
13441,硓𥑮石,咾咕石
13443,襇,襉
13449,躼,軂
13451,躼跤仔,躼骹仔
13451,躼跤仔,躼腳仔
13457,𠯗一下,咠一下
13471,𠢕,賢
13471,𠢕,爻
13472,𠢕人,𠢕儂
13472,𠢕人,賢儂
13472,𠢕人,賢人
13473,𠢕早,賢早
13478,𢲸,櫓
13485,𡳞,膦
13486,𡳞𦉎,膦綏
13486,𡳞𦉎,膦嘴
13487,𡳞核,膦核
13487,𡳞核,卵核
13488,𡳞神,膦神
13489,𡳞脬,膦脬
13489,𡳞脬,卵葩
13490,𡳞鳥,膦屌
13490,𡳞鳥,膦鳥
13493,𩵱仔,午仔
13502,𡢃,嫺
13502,𡢃,嫻
13504,𥰔仔,品仔
13517,䆀才,鄙才
13517,䆀才,僫材
13517,䆀才,孬材
13518,䆀手,僫手
13522,𨑨迌,彳亍
13522,𨑨迌,佚陶
13522,𨑨迌,得桃
13522,𨑨迌,敕桃
13523,𨑨迌人,𨑨迌儂
13527,𨑨迌查某,佚陶查某
13531,𥍉目,瞬目
13532,𤉙,焄
13533,㨑,鬃
13535,𣛮籃,盛籃
13535,𣛮籃,墭籃
13541,𤲍,擠
13544,㴘,泡
13554,𣁳,戛
13560,必,𤿎
13561,必叉,𤿎叉
13562,必痕,𤿎痕
13563,必開,𤿎開
13567,𪜶,怹
13568,𠕇,橂
13568,𠕇,𠕆
13569,𠕇硞硞,𠕆硞硞
13569,𠕇硞硞,碇硞硞
13571,𤺪,僐
13571,𤺪,倦
13584,𫞼,在
13598,𬦰懸𬦰低,𬦰高𬦰下
13603,腥,青
13605,跤,奇
13615,一口灶,一口竈
13619,小食,小噍
13619,小食,小吃
13625,內籬仔,裡籬仔
13627,勼跤勼手,丩跤丩手
13629,心內話,心裡話
13632,手梳攑懸,手梳揭峘
13634,毋是款,不是款
13634,毋是款,呣是款
13634,毋是款,唔是款
13646,必巡,𤿎巡
13650,伨頭,媵頭
13663,牢鼎,椆鼎
13663,牢鼎,稠鼎
13670,抾丁錢,卻丁錢
13670,抾丁錢,拾丁錢
13670,抾丁錢,摭丁錢
13697,厝邊兜,茨邊兜
13697,厝邊兜,戍邊兜
13698,厝邊隔壁,茨邊隔壁
13704,疼心,痛心
13705,疼命命,痛命命
13710,袂赴市,𣍐赴市
13718,啉酒醉,飲酒醉
13720,徛台,企台
13721,捽繩,摔繩
13727,深山林內,深山林裡
13735,媠面,美面
13783,跤後曲,腳後曲
13783,跤後曲,骹後曲
13784,跤捗,腳捗
13784,跤捗,骹捗
13785,跤麻手痺,腳麻手痺
13785,跤麻手痺,骹麻手痺
13800,滾耍笑,滾爽笑
13826,擔仔,担仔
13831,頭轉客,頭返客
13843,離跤手,離骹手
13843,離跤手,離腳手
13856,攑頭香,揭頭香
13856,攑頭香,舉頭香
13856,攑頭香,擧頭香
13879,上尾,尚尾
13881,上無,尚無
13890,大灶,大竈
13896,大漢囝,大漢子
13898,大嚨喉空,大嚨喉孔
13935,毋成囡仔,不成囡仔
13953,王梨酥,鳳萊酥
13955,仝心,同心
13955,仝心,共心
13956,仝沿,同沿
13956,仝沿,共沿
13973,平洋,平陽
13976,生真,生瞋
13984,目空赤,目孔赤
13987,石降,石蝀
13989,交落身,交落娠
13998,在欉的,在叢的
14004,好死毋死,好死不死
14006,好唯是,好惟是
14006,好唯是,好未是
14006,好唯是,好味是
14007,字勻,字巡
14018,竹田嬰,竹塍蠳
14031,行袂開跤,行𣍐開腳
14031,行袂開跤,行𣍐開骹
14033,行跤花,行腳花
14033,行跤花,行骹花
14037,佗落,叨落
14037,佗落,搭落
14045,坐毋著,坐不著
14048,孝尾囝,孝尾子
14066,走標,走飆
14074,到手芳,倒手芳
14082,孤跤手,孤腳手
14082,孤跤手,孤骹手
14088,抽懸,抽峘
14088,抽懸,抽高
14092,拍火,打火
14092,拍火,扑火
14094,拍鳥帽,打鳥帽
14094,拍鳥帽,扑鳥帽
14119,門口埕,門口庭
14120,文光尺,門公尺
14132,封頭壁,風頭壁
14142,枵飢失頓,餓飢失頓
14143,枵過飢,餓過飢
14144,枵燥,餓燥
14150,相伨,相媵
14154,看破跤手,看破骹手
14154,看破跤手,看破腳手
14155,看袂上目,看𣍐上目
14161,美國塗豆,美國土豆
14174,食人夠夠,吃人夠夠
14175,食老出癖,吃老出癖
14177,食風,吃風
14178,食茶,吃茶
14179,食罪,吃罪
14180,食認,吃認
14181,食銅食鐵,吃銅吃鐵
14182,食餐廳,吃餐廳
14183,食聲,吃聲
14184,香櫞瓜,香圓瓜
14188,倒轉去,倒返去
14189,倚意,偎意
14190,倚蹛,倚帶
14190,倚蹛,偎蹛
14208,梳妝打扮,梳粧打扮
14216,烏鉎,烏鏥
14219,病囝,病子
14223,破鼎,破鐤
14242,袂磕得,𣍐磕得
14243,袂曉衰,𣍐曉衰
14245,貢糖,摃糖
14269,寄跤,寄腳
14269,寄跤,寄骹
14272,徛秋,企秋
14276,推捒,推搡
14280,涵空龜,涵孔龜
14287,牽龜落湳,牽龜落坔
14291,紲落來,續落來
14292,規工,歸工
14311,喙笑目笑,嘴笑目笑
14312,喙桮,嘴桮
14313,喙齒縫,嘴齒縫
14315,報鳥鼠仔冤,報老鼠仔冤
14319,提囡仔,摕囡仔
14322,敨放,㪗放
14329,湳仔地,坔仔地
14330,湳塗,湳土
14330,湳塗,坔塗
14330,湳塗,坔土
14333,番薯仔囝,番薯仔子
14335,痟狗病,𤞚狗病
14340,硩番薯,硩番藷
14340,硩番薯,硩蕃薯
14340,硩番薯,硩蕃藷
14340,硩番薯,矺番藷
14340,硩番薯,矺蕃薯
14340,硩番薯,矺蕃藷
14348,菜宅,菜垞
14358,跙流籠,趨流籠
14366,塗石流,土石流
14406,倚山食山,倚山吃山
14425,頓蹬,頓𩨑
14458,步頻,暴憑
14480,燃水,烆水
14485,磚仔窯,磚仔窰
14487,縛跤縛手,縛骹縛手
14487,縛跤縛手,縛腳縛手
14502,頷頸珠,頷䫀珠
14504,龜龜鱉鱉,龜龜鼈鼈
14511,臨時臨曜,臨時臨要
14513,隱痀橋,隱龜橋
14532,懸頂,峘頂
14532,懸頂,高頂
14534,鹹酸苦汫,鹹酸苦𩟗
14536,攑旗軍仔,揭旗軍仔
14536,攑旗軍仔,舉旗軍仔
14536,攑旗軍仔,擧旗軍仔
14647,夭,殀
14653,屯,囤
14698,司,師
14745,兇,凶
15008,岩,巖
15040,拇,母
15134,芟,刪
15147,虱,蝨
15274,枷,椵
15459,庭,埕
15521,浡,浮
15667,參,蔘
15898,連,蓮
16018,晬,歲
16085,番,蕃
16338,碇,矴
16363,腥,青
16433,遍,片
16604,臺,台
16685,寬,緩
16720,撫,拊
16960,縒,轍
17029,頸,䫀
17971,夭壽骨,殀壽骨
18124,生猴,青猴
18500,花彔彔,花菉菉
18805,疶屎星,泄屎星
19029,庄跤人,庄跤儂
19393,幔被仔,幪被仔
19393,幔被仔,𧜞被仔
19634,轉成,長成
19666,襟胸,禽胸
20134,鈍跤鈍手,鈍腳鈍手
20134,鈍跤鈍手,鈍骹鈍手
20298,變無撚,變無捻
20302,桑椹,桑葚
27243,水筧,水梘
27249,石距,石鮔
27257,規半晡,歸半晡
27257,規半晡,歸半埔
27303,拍莓,拍苺
27316,末趁,沒趁
27321,四伨,四媵
27324,躼跤蠓,軂腳蚊
27375,光爍爍,光熠熠
27375,光爍爍,光熾熾
27379,出代誌,出事志
27385,塗窯,土窯
27385,塗窯,土窰
27390,牛奶粉,牛乳粉
27396,掠枵,掠飢
27396,掠枵,掠餓
27397,止飢,止饑
27406,摒盪,摒蕩
27415,跤尾錢,腳尾錢
27416,香跤,香腳
27418,尻川後話,尻倉後話
27418,尻川後話,腳倉后話
27423,芳貢貢,香烘烘
27423,芳貢貢,芳絳絳
27444,相疼痛,相痛疼
27503,變撚,變捻
27514,規山坪,歸山坪
27520,貫捾,貫綰
27520,貫捾,絭捾
27536,青苔仔,青笛仔
27536,青苔仔,青池仔
27536,青苔仔,青啼仔
27536,青苔仔,青絲仔
27540,頭喙,頭嘴
27548,相疊,相沓
27570,僭權,佔權
27577,相袚,相旆
27608,㾀屎,怯屎
28111,跋歹筊,跋歹徼
28111,跋歹筊,跋歹儌
28111,跋歹筊,博歹徼
28111,跋歹筊,博歹儌
28111,跋歹筊,博歹筊
28114,剪筊,剪儌
28114,剪筊,剪徼
28116,整筊,整儌
28116,整筊,整徼
28120,食清,噍清
28120,食清,吃清
28125,烏昏,烏荒
28133,纘袂牢,贊袂牢
28133,纘袂牢,贈袂牢
28137,雞喙變鴨喙,雞嘴變鴨嘴
28191,喙凊,嘴凊
28209,掂篤,敁篤
28209,掂篤,鈂篤
28209,掂篤,敁斗
28209,掂篤,鈂斗
28209,掂篤,掂斗
28224,偷走厝,偷走茨
28249,錦痀,顉痀
28249,錦痀,趛痀
28265,閬站,曠站
28292,體剔,體托
28318,卜面,博面
28329,抾骨頭,拾骨頭
28329,抾骨頭,扱骨頭
28329,抾骨頭,卻骨頭
28329,抾骨頭,摭骨頭
28341,𫞼諍王,在諍王
28345,結果擲捒,結果擲搡
28345,結果擲捒,結果掞捒
28345,結果擲捒,結果掞搡
28346,懊嘟面,懊盹面
28346,懊嘟面,懊揬面
28349,憶著,亄著
28351,起跤,起骹
28351,起跤,起腳
28353,恐喝,恐嚇
28381,門喙,門嘴
28391,卵蛋,卵端
28405,掰會,㧳會
28406,𢯾鼻,抈鼻
28406,𢯾鼻,瘼鼻
28407,食鹼,食羹
28410,呔討,汰討
28479,拚硬仔,拼硬仔
28488,顫悶,顫璺
28488,顫悶,戰悶
28495,花血,花纈
28501,老頹,老傫
28501,老頹,老俀
28502,攔孤爿,掗孤爿
28520,牽磕,牽卡
28520,牽磕,牽闔
28521,牽闔,牽卡
28533,暗殕,暗䀟
28533,暗殕,暗醭
28538,焦蔫,乾蔫
28538,焦蔫,凋蔫
28538,焦蔫,礁蔫
28551,枯焦,枯憔
28562,銅仙,銅銑
28599,紲話,續話
29101,起挐,起茹
29116,無時閒,無時閑
29169,敆爐,合爐
29179,茈鳥仔,芓鳥仔
29179,茈鳥仔,嫩鳥仔
29214,硬喙,硬嘴
29229,粗跤重蹄,粗骹重蹄
29229,粗跤重蹄,粗腳重蹄
29252,大厝起,大茨起
29305,緊跤,緊腳
29305,緊跤,緊骹
29327,鋏仔,夾仔
29346,換喙,換嘴
29378,落妝,落粧
29383,欹,迦
29420,耳空吼,耳孔吼
29420,耳空吼,耳空哮
29433,這氣,今氣
29433,這氣,即氣
29441,拍層,打層
29441,拍層,扑層
29444,欲哭欲𥍉,要哭要𥍉
29444,欲哭欲𥍉,卜哭卜𥍉
29456,使喙,使嘴
29461,敲虎𡳞,敲虎膦
29516,甲是,𢓜是
29516,甲是,徦是
29516,甲是,到是
29520,喙扁,嘴扁
29531,翻轉年,返當年
29537,見天,頏天
29543,講仙古,講僊古
29548,總根頭,摠根頭
29600,紲攤,續攤
