詞目id,漢字,異用字
3095,尿苴仔,尿敷仔
3104,尿桸,尿杓
3104,尿桸,尿瓠
3111,尾脽,尾錐
3121,尾蝶,尾蛾
3121,尾蝶,美蝶
3152,扶𡳞脬,扶膦脬
3154,序大,視大
3156,序大人,序大儂
3156,序大人,視大人
3166,扴味,逆味
3174,扶挺,扶撑
3182,忌喙,忌嘴
3183,弄喙花,弄嘴花
3186,扭搦,扭搙
3204,抓,爪
3221,杓,桸
3222,杙,楬
3228,杓仔,勺仔
3232,杜伯仔,土扒仔
3247,批桶,批筒
3268,改薰,戒薰
3268,改薰,解薰
3278,汫,𩟗
3280,汰,汏
3281,沃,渥
3284,沕,密
3286,沖,衝
3287,沙,砂
3288,灶,竈
3300,沐沐泅,沒沒囚
3307,沙挑,砂挑
3310,沙埔,砂埔
3313,沙茶,沙嗲
3319,灶跤,竈跤
3319,灶跤,灶骹
3319,灶跤,灶腳
3323,步輦,步輾
3324,沃澹,沃霑
3326,灶頭,竈頭
3329,災,瘟
3329,災,𣩈
3330,牢,稠
3330,牢,椆
3330,牢,著
3345,肝𦟪,肝連
3357,育囝,育子
3364,私奇,私家
3364,私奇,私敧
3378,肚綰,肚捾
3416,豆奶,豆乳
3450,見笑代,見笑事
3452,走袂開跤,走𣍐開腳
3452,走袂開跤,走袂開骹
3453,走袂離,走𣍐離
3456,豆乾,豆干
3457,豆乾糋,豆干糋
3475,言詞,言辭
3477,走傱,走蹤
3477,走傱,走撞
3480,赤跤,赤骹
3480,赤跤,赤腳
3481,赤跤仙仔,赤骹仙仔
3481,赤跤仙仔,赤腳仙仔
3481,赤跤仙仔,赤骹先仔
3481,赤跤仙仔,赤腳先仔
3486,芋粿,芋餜
3487,豆箍,豆麩
3489,芋粿曲,芋餜蹺
3498,車輪,車輾
3506,車幫,車番
3512,豆簽,豆籤
3524,佮,及
3524,佮,甲
3524,佮,合
3525,佮,合
3534,佯毋知,殿不知
3534,佯毋知,盯毋知
3534,佯毋知,盯不知
3536,佬仔,老仔
3541,佯生,盯生
3541,佯生,盯青
3553,佳哉,嘉哉
3562,佮喙,合嘴
3562,佮喙,合喙
3564,佯痟,𩏠痟
3565,佮意,愜意
3565,佮意,合意
3577,佯顛佯戇,佯癲佯怣
3579,佯戇,盯戇
3579,佯戇,佯怣
3579,佯戇,盯怣
3580,侗戇,侗怣
3592,到,甲
3599,剁,斵
3617,刺毛蟲,蛓毛蟲
3645,刺波,刺藨
3659,到站,甲站
3668,受債,受制
3670,受當袂起,受當𣍐起
3682,刺繡,刺綉
3703,坯,胚
3717,坦直,侹直
3718,呵咾,阿咾
3718,呵咾,謳咾
3732,坦徛,坦企
3732,坦徛,挺徛
3732,坦徛,坦豎
3744,呼噓仔,呼㗭仔
3744,呼噓仔,呼㗭也
3744,呼噓仔,呼噓也
3750,呸瀾,呸涎
3763,姊,姐
3764,姊,姐
3769,姑不而將,姑不二將
3769,姑不而將,姑不二終
3770,姊夫,姐夫
3781,姊妹,姐妹
3795,姑情,姑成
3828,底代,底事
3833,孤囝,孤子
3863,定銀,訂銀
3879,忝,悿
3887,彼一日,迄一日
3888,怪人,怪儂
3889,怪人,怪儂
3896,彼爿,彼旁
3896,彼爿,迄旁
3896,彼爿,迄爿
3901,戽杓,戽桸
3903,念咒,唸咒
3906,往往,永永
3912,彼時,迄時
3915,念珠,唸珠
3916,彼站,迄暫
3917,彼陣,彼瞬
3917,彼陣,迄陣
3917,彼陣,迄瞬
3919,彼款,迄款
3921,彼搭,迄搭
3923,彼號,迄號
3924,彼跡,迄跡
3925,往過,永過
3930,彼擺,迄擺
3931,往擺,永擺
3940,披,帔
3945,抾,卻
3945,抾,拾
3945,抾,摭
3946,抿,笢
3946,抿,刡
3947,拂,㧾
3952,拊,撫
3956,拍,打
3956,拍,扑
3961,拑,捦
3966,拚,拼
3975,拄才,拄則
3975,拄才,拄即
3980,拍手,打手
3980,拍手,扑手
3981,拍歹,打歹
3981,拍歹,扑歹
3984,拍毋見,打不見
3984,拍毋見,拍不見
3985,拍手銃,打手銃
3985,拍手銃,扑手銃
3989,披仔,批仔
3990,抿仔,刡仔
3992,拍尻川,打尻川
3992,拍尻川,扑尻川
3993,拍石,打石
3993,拍石,扑石
3995,拚生死,拼生死
3996,拍石師,打石師
3996,拍石師,扑石師
3997,拚生理,拼生理
3998,拈田嬰,拈田𧉅
3999,拍生驚,打青驚
3999,拍生驚,扑生驚
4000,拍交落,扑交落
4000,拍交落,打交落
4002,抾囡仔,扱囡仔
4002,抾囡仔,拾囝仔
4004,招囝婿,招子婿
4005,拄好,抵好
4008,拍字機,打字機
4008,拍字機,扑字機
4015,拍呃,拍嗝
4015,拍呃,拍噎
4015,拍呃,打呃
4020,拍折,打折
4020,拍折,扑折
4021,拖沙,拖砂
4023,拑牢牢,捦稠稠
4028,拚命,拼命
4031,拍官司,打官司
4031,拍官司,扑官司
4032,拚性命,拼性命
4034,拍拍,打拍
4034,拍拍,扑拍
4035,拍拚,打拚
4035,拍拚,扑拼
4035,拍拚,扑拚
4038,拍抐涼,打納涼
4038,拍抐涼,扑納涼
4042,拍金仔,打金仔
4042,拍金仔,扑金仔
4044,拚俗,拼俗
4045,拍咳啾,拍交嗆
4045,拍咳啾,打咳啾
4045,拍咳啾,扑咳啾
4046,拍咯雞,打咯雞
4046,拍咯雞,扑咯雞
4048,抾客,扱客
4052,抾恨,扱恨
4054,抾拾,扱拾
4055,拍某菜,打某菜
4055,拍某菜,扑姥菜
4055,拍某菜,拍姆菜
4057,拍派,打派
4057,拍派,扑派
4063,拆食落腹,拆噍落腹
4063,拆食落腹,拆吃落腹
4066,拍拳,扑拳
4066,拍拳,打拳
4067,拍拳頭,扑拳頭
4068,抾捔,扱桷
4068,抾捔,拾擱
4068,抾捔,抾掬
4068,抾捔,抾确
4070,抾柴,扱柴
4071,抽疼,抽痛
4074,拍破,打破
4074,拍破,扑破
4084,抾骨,扱骨
4084,抾骨,拾骨
4088,拔桶,跋桶
4089,拄欲,抵欲
4089,拄欲,拄要
4089,拄欲,抵要
4091,拍球,打球
4091,拍球,扑球
4095,拍通關,打通關
4095,拍通關,扑通關
4097,拍麻雀,打麻雀
4097,拍麻雀,扑麻雀
4098,拍喙鼓,打嘴鼓
4098,拍喙鼓,扑喙鼓
4098,拍喙鼓,拍嘴鼓
4102,拍殕仔光,拍䀟仔光
4102,拍殕仔光,打殕仔光
4102,拍殕仔光,拍普仔光
4104,拍無去,打無去
4104,拍無去,扑無去
4106,抾稅,扱稅
4107,拍結,打結
4107,拍結,扑結
4109,拍結毬,拍結球
4109,拍結毬,打結球
4110,抾著,扱著
4111,拄著,抵著
4115,拚勢,拼勢
4118,拄搪,抵搪
4119,拍損,扑損
4119,拍損,打損
4119,拍損,打爽
4125,拗裒,拗紨
4128,拚暝工,拼暝工
4131,拍種,扑種
4131,拍種,打種
4132,拍算,扑算
4132,拍算,打算
4133,拍算盤,打算盤
4133,拍算盤,扑算盤
4139,拍噗仔,打噗仔
4139,拍噗仔,扑噗仔
4141,拄數,抵賬
4141,拄數,抵數
4141,拄數,拄賬
4142,放數,放賬
4144,拍賣,打賣
4144,拍賣,扑賣
4150,拍醒,打醒
4150,拍醒,扑醒
4151,拚輸贏,拼輸贏
4152,抾錢,扱錢
4155,斧頭,釜頭
4159,拍斷,扑斷
4159,拍斷,打斷
4160,拍獵,打獵
4160,拍獵,扑獵
4161,拍翸,打翸
4161,拍翸,扑翸
4168,拌蠓仔,拌蚊仔
4169,拍觸衰,扑觸衰
4169,拍觸衰,打觸衰
4170,拍鐵,打鐵
4170,拍鐵,扑鐵
4171,拍鐵仔師,打鐵仔師
4171,拍鐵仔師,扑鐵仔師
4172,拍鐵仔褲,打鐵仔褲
4172,拍鐵仔褲,扑鐵仔褲
4175,拍鱗,打麟
4175,拍鱗,扑麟
4180,拗鬱,拗熨
4181,抾襇,扱襇
4183,昏,暈
4191,枋,板
4200,東爿,東邊
4200,東爿,東旁
4203,枋仔,板仔
4208,明仔載,明仔再
4208,明仔載,明仔哉
4208,明仔載,明旦載
4209,昏去,暈去
4215,林投姊仔,林投姐仔
4216,服侍,服祀
4225,昏倒,暈倒
4229,昏迷,暈迷
4231,枋堵,板堵
4233,松梧,松羅
4237,林菝仔,林拔仔
4243,枋模,板模
4256,沾,呫
4256,沾,噆
4257,沿,椽
4259,泏,注
4260,泏,𤁢
4261,泏,𤁢
4281,治枵,治飫
