漢字,羅馬字,建議順序,類型
肯,Khíng,1,
虎,Hóo,1,
近,Kīn,1,
近,Kūn,2,
金,Kim,1,
非,Hui,1,
保,Pó,1,
保,Póo,2,
信,Sìn,1,
冠,Kuan,1,
勇,Ióng,1,
南,Lâm,1,
卻,Khiok,1,
哀,Ai,1,
哈,Gap,1,
奕,I̍k,1,
巷,Hāng,1,
帝,Tè,1,
度,Tōo,1,
律,Lu̍t,1,
拜,Pài,1,
施,Si,1,
春,Tshun,1,
是,Sī,1,
柑,Kam,1,
查,Tsa,1,
查,Tse,2,
洒,Sè,1,
洒,Sá,2,
洗,Sé,1,
洗,Sué,2,
皆,Kai,1,
盆,Phûn,1,
省,Síng,1,
省,Sénn,2,
秋,Tshiu,1,
科,Kho,1,
科,Khe,2,
科,Khoo,3,
約,Iok,1,
約,Ioh,2,
美,Bí,1,
耐,Nāi,1,
苦,Khóo,1,
衫,Sann,1,
衫,Sam,2,
降,Kàng,1,
革,Kik,1,
風,Hong,1,
修,Siu,1,
埕,Tiânn,1,
埕,Tîng,2,
孫,Sun,1,
孫,Sng,2,
孫,Suinn,3,
容,Iông,1,
展,Tián,1,
島,Tó,1,
島,Tóo,2,
席,Tshio̍h,1,
庫,Khòo,1,
徒,Tôo,1,
恭,Kiong,1,
效,Hāu,1,
時,Sî,1,
柴,Tshâ,1,
校,Hāu,1,
根,Kin,1,
根,Kun,2,
海,Hái,1,
烏,Oo,1,
珠,Tsu,1,
班,Pan,1,
真,Tsin,1,
祖,Tsóo,1,
祝,Tsiok,1,
神,Sîn,1,
納,La̍p,1,
素,Sòo,1,
能,Lîng,1,
茶,Tê,1,
荏,Lám,1,
荏,Jím,2,
荏,Lím,3,
荏,Gím,4,
記,Kì,1,
豹,Pà,1,
財,Tsâi,1,
起,Khí,1,
酒,Tsiú,1,
閃,Siám,1,
院,Īnn,1,
高,Ko,1,
停,Thîng,1,
剪,Tsián,1,
勒,Li̍k,1,
務,Bū,1,
匙,Sî,1,
區,Oo,1,
國,Kok,1,
堅,Kian,1,
堆,Tui,1,
堵,Tóo,1,
夠,Kàu,1,
夠,Kiò,2,
夠,Kòo,3,
強,Kiông,1,
強,Kiâng,2,
排,Pâi,1,
晡,Poo,1,
犁,Lê,1,
犁,Luê,2,
理,Lí,1,
盛,Siānn,1,台日
盛,Sīng,2,台日
符,Hû,1,
第,Tē,1,
第,Tuē,2,
細,Sè,1,
細,Suè,2,
莫,Bo̍h,1,
莫,Bo̍k,2,
赦,Sià,1,
部,Pōo,1,
野,Iá,1,
釧,Tshuan,1,
釧,Tshuàn,2,
閉,Pì,1,
頂,Tíng,1,
鹿,Lo̍k,1,
麥,Be̍h,1,
勞,Lô,1,
勞,Lôo,2,
博,Phok,1,
善,Siān,1,
圍,Uî,1,
堪,Kham,1,
尊,Tsun,1,
提,Thê,1,
換,Uānn,1,
換,Huān,2,
景,Kíng,1,
朝,Tiau,1,
棋,Kî,1,
棗,Tsó,1,
渡,Tōo,1,
湖,Ôo,1,
猴,Kâu,1,
琴,Khîm,1,
番,Huan,1,
硯,Hīnn,1,
稅,Suè,1,
稅,Sè,2,
筆,Pit,1,
絲,Si,1,
貴,Kuì,1,
費,Huì,1,
費,Pì,2,
越,Ua̍t,1,
鈕,Liú,1,
雁,Gān,1,
雲,Hûn,1,
雲,Ûn,2,
雲,În,3,
項,Hāng,1,
順,Sūn,1,
嗄,Sà,1,
塔,Thap,1,
媽,Má,1,
幹,Kàn,1,
意,Ì,1,
愛,Ài,1,
敬,Kìng,1,
新,Sin,1,
會,Kuè,1,
楠,Lâm,1,
業,Gia̍p,1,
滑,Hu̍t,1,
煙,Ian,1,
獅,Sai,1,
獅,Su,2,
群,Kûn,1,
義,Gī,1,
萬,Bān,1,
號,Hō,1,
號,Hōo,2,
裘,Kiû,1,
補,Póo,1,
詩,Si,1,
該,Kai,1,
路,Lōo,1,
載,Tsài,1,
農,Lông,1,
遇,Gū,1,
遇,Gī,2,
遊,Iû,1,
道,Tō,1,
道,Tōo,2,
鈴,Lîng,1,
雷,Luî,1,
電,Tiān,1,
圖,Tôo,1,
團,Thuân,1,
壽,Siū,1,
暢,Thiòng,1,
暢,Thiàng,2,
滾,Kún,1,
漆,Tshat,1,
演,Ián,1,
漢,Hàn,1,
熊,Hîm,1,
福,Hok,1,
舞,Bú,1,
銀,Gîn,1,
銀,Gûn,2,
銅,Tâng,1,
鳳,Hōng,1,
齊,Tsê,1,
齊,Tsiâu,2,
齊,Tsâu,3,
墜,Tuī,1,
審,Sím,1,
德,Tik,1,
播,Pòo,1,
樂,Ga̍k,1,
樓,Lâu,1,
潤,Jūn,1,
潤,Lūn,2,
潭,Thâm,1,
線,Sàn,1,
練,Liān,1,
蝦,Hê,1,
蝦,Hâ,2,
調,Tiāu,1,
談,Tâm,1,
賢,Hiân,1,
遷,Tshian,1,
魯,Lóo,1,
戰,Tsiàn,1,
積,Tsik,1,
縣,Hiān,1,
興,Hing,1,
興,Hin,2,
隨,Suî,1,
戲,Hì,1,
穗,Suī,1,
糜,Bî,1,
臨,Lîm,1,
鍊,Liān,1,
壘,Luí,1,
歸,Ka,1,
甕,Àng,1,
甕,Òng,2,
禮,Lé,1,
簫,Siau,1,
織,Tsit,1,
職,Tsit,1,
鎖,Tshó,1,
鎮,Tìn,1,
雙,Siang,1,
雙,Sang,2,
雞,Ke,1,
雞,Kue,2,
顏,Gân,1,
瀨,Luā,1,
瀨,Lāi,2,
瀨,Nāi,3,
繳,Kiáu,1,
證,Tsìng,1,
證,Tsìn,2,
鏡,Kiànn,1,
霧,Bū,1,
類,Luī,1,
嚴,Giâm,1,
寶,Pó,1,
爐,Lôo,1,
礦,Khòng,1,
鐘,Tsing,1,
鐘,Tsiong,2,
饒,Jiâu,1,
饒,Liâu,2,
饒,Giâu,3,
黨,Tóng,1,
蘭,Lân,1,
辯,Piān,1,
露,Lōo,1,
顧,Kòo,1,
囊,Lông,1,
欉,Tsâng,1,
權,Khuân,1,
權,Kuân,2,
靈,Lîng,1,
鬱,Ut,1,
𣛮,Siānn,1,
川,Tshuan,1,
已,Í,1,
云,Ûn,1,
云,În,2,
介,Kài,1,
元,Guân,1,
及,Ki̍p,1,
巴,Pa,1,
且,Tshiánn,1,
叭,Phuat,1,
右,Iū,1,
尼,Nî,1,
尼,Lî,2,
左,Tsó,1,
左,Tsóo,2,
巨,Kī,1,
巨,Kū,2,
弘,Hông,1,
必,Pit,1,
札,Tsat,1,
永,Íng,1,
玄,Hiân,1,
田,Tiân,1,
田,Tshân,2,
矢,Sí,1,
禾,Hô,1,
禾,Hôo,2,
仰,Gióng,1,
仰,Giáng,2,
仲,Tiōng,1,
仵,Ngóo,1,
伍,Ngóo,1,
伏,Ho̍k,1,
伙,Hué,1,
伙,Hé,2,
危,Guî,1,
吏,Lī,1,
夷,Î,1,
宇,Ú,1,
宇,Í,2,
旭,Hiok,1,
朴,Phok,1,
灰,Hue,1,
灰,He,2,
羽,Ú,1,
羽,Í,2,
佃,Tiān,1,
但,Tān,1,
佐,Tsò,1,
佑,Iū,1,
冶,Iá,1,
努,Lóo,1,
吳,Ngôo,1,
吳,Gôo,2,
吾,Ngôo,1,
吾,Gôo,2,
呈,Tiânn,1,
壯,Tsòng,1,
妥,Thò,1,
孜,Tsu,1,
宏,Hông,1,
希,Hi,1,
杉,Sam,1,
杜,Tōo,1,
杞,Kí,1,
沈,Sím,1,
沐,Bo̍k,1,
沛,Phài,1,
甫,Hú,1,
秀,Siàu,1,
肖,Siàu,1,
育,Io̍k,1,
良,Liông,1,
良,Liâng,2,
芍,Tsiok,1,
芎,Kiong,1,
谷,Kok,1,
貝,Puè,1,
邦,Pang,1,
阮,Ńg,1,
阮,Uán,2,
阮,Uínn,3,
乳,Jú,1,
乳,Lú,2,
乳,Jí,3,
乳,Gí,4,
依,I,1,
協,Hia̍p,1,
周,Tsiu,1,
咍,Hai,1,
固,Kòo,1,
坤,Khun,1,
奉,Hōng,1,
奔,Phun,1,
妮,Nî,1,
妲,Thán,1,
妲,Tat,2,
姒,Sāi,1,
委,Uí,1,
孟,Bīng,1,
宗,Tsong,1,
宛,Uán,1,
宜,Gî,1,
岡,Kong,1,
岳,Ga̍k,1,
弦,Hiân,1,
彼,Pí,1,
忽,Hut,1,
怡,Î,1,
怯,Khiap,1,
或,Hi̍k,1,
拓,Thok,1,
於,U,1,
於,I,2,
昂,Gông,1,
昆,Khun,1,
昌,Tshiong,1,
昌,Tshiang,2,
昔,Sik,1,
朋,Pîng,1,
杭,Hâng,1,
枉,Óng,1,
沓,Ta̍p,1,
沓,Ta̍uh,2,
況,Hòng,1,
泊,Po̍k,1,
泣,Khip,1,
牧,Bo̍k,1,
狐,Hôo,1,
竺,Tiok,1,
舍,Sià,1,
芬,Hun,1,
芭,Pa,1,
邸,Tí,1,
陀,Tôo,1,
陀,Tô,2,
亮,Liāng,1,
亮,Liōng,2,
係,Hē,1,
俐,Lī,1,
俞,Jû,1,
俞,Lû,2,
俞,Jî,3,
冒,Mōo,1,
姻,In,1,
姻,Ian,2,
威,Ui,1,
娃,Ua,1,
宣,Suan,1,
宦,Huān,1,
屋,Ok,1,
帥,Suè,1,
建,Kiàn,1,
彥,Gān,1,
彥,Giān,2,
恆,Hîng,1,
拱,Kióng,1,
拾,Si̍p,1,
昭,Tsiau,1,
柔,Jiû,1,
柔,Liû,2,
柔,Giû,3,
柯,Kua,1,
柳,Liú,1,
洛,Lo̍k,1,
洛,Lo̍h,2,
玲,Lîng,1,
皇,Hông,1,
祈,Kî,1,
禹,Ú,1,
禹,Í,2,
紀,Kí,1,
耶,Iâ,1,
胖,Phuân,1,
苑,Uán,1,
苗,Biâu,1,
苟,Kóo,1,
苟,Kió,2,
英,Ing,1,
茂,Bōo,1,
茂,Biō,2,
范,Huān,1,
要,Iau,1,
迦,Khia,1,
迦,Ka,2,
迦,Kia,3,
迪,Ti̍k,1,
述,Su̍t,1,
郁,Hiok,1,
韋,Uí,1,
首,Siù,1,
乘,Sîng,1,
俸,Hōng,1,
候,Hāu,1,
倫,Lûn,1,
凌,Lîng,1,
剛,Kong,1,
卿,Khing,1,
原,Guân,1,
哲,Tiat,1,
埃,Ai,1,
娜,Ná,1,
娜,Lô,2,
娟,Kuan,1,
娥,Ngôo,1,
宰,Tsáinn,1,
徐,Tshî,1,
悅,Ua̍t,1,
悅,Ia̍t,2,
悟,Ngōo,1,
悟,Gōo,2,
拿,Ná,1,
旁,Pông,1,
