義項id,詞目漢字,解說,對應詞目id,對應詞目漢字
1992,外人,沒有親屬關係的人。,11910,親人
1995,出口,某一場所專供人員外出的門戶。,24004,入口
2023,北爿,北邊。北方。,23473,南方
2051,出名,有名、著名。,19136,無名
2089,叫苦,呼喊所受的苦難。,19087,喝爽
2089,叫苦,呼喊所受的苦難。,19093,喝暢
2135,北部,指某一地的北方區域。,22790,南部
2148,出港,指船隻駛出港口。,17750,入港
2162,古意,忠厚、老實、憨厚。,19138,無老實
2235,包贏,一定勝利，穩操勝算。,18050,包輸
2235,包贏,一定勝利，穩操勝算。,19661,穩輸
2330,市內,城市的範圍以內。,18059,市外
2330,市內,城市的範圍以內。,18079,市郊
2330,市內,城市的範圍以內。,24112,野外
2351,正本,書籍或文件的原來的版本。,19449,影印本
2360,本地,居住在某地區的人自稱該地為「本地」。,25024,外地
2375,正身,正房。舊式合院房屋的中心建築部分，兩邊則為「護龍」。,19694,護廊
2382,民事,法律上指關於人民私權的事，如財產、婚姻等。,2177,刑事
2393,正門,大門。整個建築物的主要出入門戶。,18907,偏門
2395,失信,失約。不遵守諾言。,18204,守信
2400,失約,失信、違約。沒有按照原先約定去做。,18207,守約
2403,正面,身體五官的那一面、物體的外表或上層。,4945,後面
2403,正面,身體五官的那一面、物體的外表或上層。,5746,倒面
2405,正面,比喻富有教育性或積極的一面。,22870,負面
2408,平埔,平地、平野、平坦而空曠的原野。,24184,山地
2425,平常,形容一點也沒有值得奇怪或驚訝的地方。,6274,特殊
2437,幼貨,上等貨。指價值高、體積小、重量也較輕的物品。,19021,粗貨
2448,必然,確定不移。,18063,未必然
2470,正路,正當的途徑。引申為做好人，行好事。,18611,歪路
2480,幼齒,幼小、剛長出來的乳牙。,19012,粗牙
2481,幼齒,用來稱呼年幼的人、少女或是生手。,24223,老鳥
2495,民營化,為提升國家競爭力和事業經營效率，將國營事業轉變由民間出資經營。,23693,公營
2518,甘,甜美的、美好的。,5452,苦
2532,生,活著。,2443,死
2532,生,活著。,2457,死亡
2737,白話,明白易懂的口語，與文言相對。,946,文言
2740,白賊話,謊話。,18276,老實話
2740,白賊話,謊話。,19389,實在話
2744,田僑仔,擁有許多田地，靠地價暴漲而致富的土財主。,18291,佃農
2828,先,前。時間或次序上比較前面。,4898,後
2864,光面,光滑的表面。,18503,花面
2864,光面,光滑的表面。,19017,粗面
2876,光復,失去再收回。,19067,陷落
2887,先進,指最進步，可成為學習、效仿對象的。,19321,落後
2987,合力,協力、共同出力。,19514,獨力
2994,同心,一心、齊心。同樣的意志、想法。,18156,各心
3003,囡仔兄,對小男孩的一種客氣的當面稱呼。,18158,囡仔姊
3039,刑事,行為觸犯刑法，或依其他法律應該處以刑罰的法律案件。相對於「民事」(bîn-sū)而言。,1720,民事
3047,同居,居住一處，共同生活在一起。法律上規定同居是夫妻間應盡的義務。,24993,分居
3056,向前,往前、向著前方。,18178,向後
3057,合奏,多種樂器聯合演奏。,19522,獨奏
3073,合唱,許多人齊聲歌唱。,19525,獨唱
3079,合理,符合道理。,19153,無理
3084,在野,本來指不在朝廷擔任官職，後來借指不作官、不當政。,18182,在朝
3084,在野,本來指不在朝廷擔任官職，後來借指不作官、不當政。,24096,執政
3121,危險,不安全。,22169,安全
3133,在額,定額。編制內、固定的職位。,19471,編制外的
3133,在額,定額。編制內、固定的職位。,19590,臨時的
3136,在欉黃,樹頭鮮。成熟度為八、九分以上才摘取下來的水果。它的味道比六、七分熟就摘取下來催熟的水果甜美。引申「催熟」臺灣閩南語說成「隱」。「在欉黃」的水果不需催熟，說成「無隱」，諧音「無穩」，意思就是「不穩當」。,17888,分熟的
3202,存心,心懷某種意念、居心。,25259,無心
3273,好彩頭,好預兆。,19906,歹彩頭
3296,好勢,好意思，常用在反詰的語氣。,1093,歹勢
3353,成,成為。,907,毋成
3378,早,早上、清晨。,9564,暗
3380,早,不晚、不遲。,6075,晏
3384,曲,彎彎的。,4373,直
3386,有,表事實或狀況的正面存在，與「無」(bû)相對。,8564,無
3425,死人,死去的人。,18612,活人
3473,扣押,法院以強制的力量拘留嫌疑犯或扣留證物、贓物。,18436,放人
3473,扣押,法院以強制的力量拘留嫌疑犯或扣留證物、贓物。,23270,釋放
3473,扣押,法院以強制的力量拘留嫌疑犯或扣留證物、贓物。,25543,交保
3481,收拾,將散亂的東西收集整理、整頓好。,18466,拍散
3497,扣留,扣押。法院以強制的力量拘留嫌疑犯或扣留證物、贓物。,18436,放人
3497,扣留,扣押。法院以強制的力量拘留嫌疑犯或扣留證物、贓物。,23270,釋放
3497,扣留,扣押。法院以強制的力量拘留嫌疑犯或扣留證物、贓物。,25543,交保
3503,早起,早上、早晨。,251,下午
3503,早起,早上、早晨。,432,下晡
3564,有錢人,富有的人。,19114,散赤人
3573,有額,數量多而且足夠可用。,19160,無額
