義項id,詞目漢字,解說,對應詞目id,對應詞目漢字
22429,皮皮仔,約略的、稍微的。,19226,量其約仔
22429,皮皮仔,約略的、稍微的。,22380,大概
22429,皮皮仔,約略的、稍微的。,28181,生門
22431,貓神,不乾脆、瑣碎。做事挑剔，過分仔細。,28184,龜毛神
22431,貓神,不乾脆、瑣碎。做事挑剔，過分仔細。,28185,貓毛
22431,貓神,不乾脆、瑣碎。做事挑剔，過分仔細。,28186,實膜
22432,貓神,女性化。,28187,母形
22432,貓神,女性化。,28188,查某形
22432,貓神,女性化。,28189,解姑體
22436,笑粉,粉嫩。形容皮膚細白柔軟。,28192,白phau-phau
22439,慢手,慢吞吞、動作遲緩。,20134,鈍跤鈍手
22440,拍雄,雞、鴨等雌性禽類與雄性交配、受精。,19742,配種
22442,土符仔,原指民間的符籙，後常用來諷指太過潦草的字或胡亂的畫作。,28198,符令
22442,土符仔,原指民間的符籙，後常用來諷指太過潦草的字或胡亂的畫作。,28199,符仔路
22442,土符仔,原指民間的符籙，後常用來諷指太過潦草的字或胡亂的畫作。,28200,葉仔路
22443,素料,泛指素食食物。,28202,素菜
22443,素料,泛指素食食物。,28203,齋糧
22443,素料,泛指素食食物。,28204,齋菜
22447,偷走學,逃學。學生無故不到學校上課，在外遊蕩。,20002,走書
22447,偷走學,逃學。學生無故不到學校上課，在外遊蕩。,28211,偷走書
22449,現貨,現貨。現有的物品。,28213,便貨
22451,細漢的,小弟、手下或供人差遣的人。通常用來稱呼團體中位階較低者。,28215,細胚的
22458,時景,謂某時間點的光景、狀況。,23168,現況
22459,鹹水貨,舶來品。由外國進口輸入的貨物。,28221,過水貨
22462,偷走厝,蹺家。因為某種原因而離家出走。,28223,離家出走
22463,款勢,意指一種外在的姿態、架勢或形狀；也可用於表示事情的樣貌、情勢、趨勢或文學的體裁。,26244,架勢
22463,款勢,意指一種外在的姿態、架勢或形狀；也可用於表示事情的樣貌、情勢、趨勢或文學的體裁。,28225,款製
22464,挐頭,指小孩使性子胡鬧。,28227,使性搦地
22464,挐頭,指小孩使性子胡鬧。,28228,使派
22464,挐頭,指小孩使性子胡鬧。,28229,使癖
22466,退悔,中途改變心意，感到後悔。,28231,想退悔
22469,帕尾,善後。事故發生後妥善處理遺留下的問題。,28234,攬尾
22472,圇痀,瑟縮、退縮。因害怕而畏縮或靜止不動。,28236,懍膽
22472,圇痀,瑟縮、退縮。因害怕而畏縮或靜止不動。,28237,懍懾
22472,圇痀,瑟縮、退縮。因害怕而畏縮或靜止不動。,28238,懾膽
22473,是年是節,逢年過節。,28240,年節時仔
22473,是年是節,逢年過節。,28241,年仔節仔
22473,是年是節,逢年過節。,28242,年冬月節
22473,是年是節,逢年過節。,28243,大年大節
22473,是年是節,逢年過節。,28244,過年過節
22473,是年是節,逢年過節。,28245,是年八節
22475,錦痀,駝背。形容（人或雞等）脖子前伸且背部彎拱的樣子。,28248,痀背
22477,雞毛管仔,膠囊。指中、西醫為方便患者服用，將粉狀或液狀藥物填裝於膠囊中而製成。外形類似家禽的羽毛根管，故有此稱。,28250,鵝管仔
22480,無時無陣,不定時。無固定的時間。,28253,無時陣
22487,漚搭,壞人、惡人。,28256,漚腳
22487,漚搭,壞人、惡人。,28257,歹料
22487,漚搭,壞人、惡人。,28258,歹狗
22487,漚搭,壞人、惡人。,28259,䆀料
22487,漚搭,壞人、惡人。,28260,䆀搭
22493,璇石喙,能言善道。,28266,好喙水
22496,照原,照樣、照舊。,22236,原來
22500,嶄然,非常、相當。,22116,非常
22500,嶄然,非常、相當。,28275,嶄然仔
22501,過通關,學業或技藝等各種考試、比賽都能順利通過。,24614,過關
22507,目降鬚聳,吹鬍子瞪眼。形容盛怒的樣子。,28281,㤉目
22508,近兜,附近。,22203,附近
22509,強徒,強盜。強搶他人財物的人。,17877,凶徒
22509,強徒,強盜。強搶他人財物的人。,18734,匪徒
22509,強徒,強盜。強搶他人財物的人。,28285,舂乓
22510,致心,盡心盡力、專心致志。,7146,專心
22510,致心,盡心盡力、專心致志。,26831,盡心
22510,致心,盡心盡力、專心致志。,28287,致心致命
22510,致心,盡心盡力、專心致志。,28288,致心致血
22513,數佻,數落他人的不是。,28292,體剔
22513,數佻,數落他人的不是。,28293,剔斥
22517,爸公業,祖先遺留下來的財產。,14224,祖公仔產
22517,爸公業,祖先遺留下來的財產。,26346,祖產
22517,爸公業,祖先遺留下來的財產。,28296,祖業
22518,曷有一个,怎麼、哪有。,19989,盍會
22518,曷有一个,怎麼、哪有。,28298,盍有
22531,線屎,線頭。縫紉完成後，殘餘在衣褲上未剪除的短線。,28307,線尾
22532,拚汗,冒冷汗。一種不自覺流汗的症狀。,28309,拚凊汗
22535,無因無端,無故、平空。,28313,無因端
22535,無因無端,無故、平空。,28314,無因致端
22535,無因無端,無故、平空。,28315,無事無故
22536,下日仔,今日後的某一天。,17762,下日
22536,下日仔,今日後的某一天。,18296,別工
22536,下日仔,今日後的某一天。,18584,後日仔
22538,相借喙,打招呼。,28319,相叫喙
22538,相借喙,打招呼。,28320,相掰會
22540,辯話骨,挑語病。,28323,掠話屎
22540,辯話骨,挑語病。,28324,掠話蝨
22540,辯話骨,挑語病。,28325,掠話骨
22540,辯話骨,挑語病。,28326,吮話縫
22541,輕兩想,輕得不得了。,28328,輕蠓蠓
22542,會和,划算。,19288,會和盤
22543,抾風水,撿骨。把土葬的棺木挖出，取出骨骸洗淨、晾乾裝入陶甕，俾便重新下葬。,18459,抾金
22543,抾風水,撿骨。把土葬的棺木挖出，取出骨骸洗淨、晾乾裝入陶甕，俾便重新下葬。,28329,抾骨頭
22544,押尾手,最後。,28331,押尾
22545,慢死趖,慢吞吞。形容動作緩慢，拖泥帶水。,28333,慢鈍
22546,結嚾結黨,成群結黨。,28335,狐群狗黨
22546,結嚾結黨,成群結黨。,28336,絞群
22546,結嚾結黨,成群結黨。,28337,絞群絞黨
22547,𫞼諍王,好辯的人、善於爭辯的人。,28338,硬牙的
22547,𫞼諍王,好辯的人、善於爭辯的人。,28339,徛諍王
22547,𫞼諍王,好辯的人、善於爭辯的人。,28340,厚口舌的
22550,結果擲捒,解決掉、消滅掉。,28344,結果擲掉
22553,花哩囉,形容色彩繁多而雜亂。,18500,花彔彔
22554,花哩囉,言詞雜亂沒有條理，反反覆覆。,28348,花嗄嗄
22558,起跤,拔腿。,28350,抾起跤
22561,抾金,臺灣的喪葬風俗。將土葬後先人的遺骨撿起擦拭整理後，裝入骨罈中的遷葬習俗。,28329,抾骨頭
22561,抾金,臺灣的喪葬風俗。將土葬後先人的遺骨撿起擦拭整理後，裝入骨罈中的遷葬習俗。,28330,抾風水
22563,苦楝舅,臺灣欒樹。為臺灣特有原生種，因葉子形狀像苦楝而得名。,28354,苦楝仔舅
22563,苦楝舅,臺灣欒樹。為臺灣特有原生種，因葉子形狀像苦楝而得名。,28355,木欒仔
22569,做得來,自己招惹、自作自受。,28359,討衰
22570,押尾,殿後、押後。,28361,押尾後
22572,壓落底,壓制使順從、壓制使屈服。,28363,壓落性
22572,壓落底,壓制使順從、壓制使屈服。,28364,壓倒
22572,壓落底,壓制使順從、壓制使屈服。,28365,教乖
22574,缺欠,缺乏。,28367,缺限
22576,怪奇,奇怪、奇特、蹊蹺。,25019,古怪
22576,怪奇,奇怪、奇特、蹊蹺。,28368,怪潲
22577,趕狂,急忙、倉皇、慌慌張張。,28370,緊狂
22578,懸踏,高跟鞋。,28372,懸踏仔
22578,懸踏,高跟鞋。,28373,懸屐
22578,懸踏,高跟鞋。,28374,懸屐仔
22578,懸踏,高跟鞋。,28375,懸踏鞋
22578,懸踏,高跟鞋。,28376,懸踏仔鞋
22579,門喙,門口。,28378,門跤兜
22579,門喙,門口。,28379,門頭
22579,門喙,門口。,28380,戶橂跤
22580,貓徙岫,貓挪窩，因為貓有常常挪窩的習性，因此用來比喻常常搬家或不安於位。,28382,帶驛馬
22580,貓徙岫,貓挪窩，因為貓有常常挪窩的習性，因此用來比喻常常搬家或不安於位。,28383,貓仔相
22585,公族仔,宗親。同宗族的親屬。,28386,公族
22585,公族仔,宗親。同宗族的親屬。,28387,宗族
22585,公族仔,宗親。同宗族的親屬。,28388,仝房頭
22589,探,伸出去。,24734,伸出
22590,探,伸手去搆。,24734,伸出
22592,坦橫生,手先生出來的橫向難產。,28394,討鹽生
22592,坦橫生,手先生出來的橫向難產。,28396,艱苦生
22592,坦橫生,手先生出來的橫向難產。,28761,難產
22595,出眾,出色、傑出、卓越。,18003,出人前
22595,出眾,出色、傑出、卓越。,19935,出腳
22608,制煞,鎮煞、鎮邪。,28411,壓煞
22609,臭奶羶,乳臭、乳臭味。形容小嬰兒身上的乳臭味。,28412,臭奶仔羶
22610,臭奶羶,引伸為人能力稚嫩不成熟。,28412,臭奶仔羶
22612,厝蓋,屋頂。房屋上部整片的遮蓋物。,28414,厝頂蓋
22616,起致,引起、由此發生。,22413,引發
22618,起造,建造、興建。,22868,建造
22620,平素時,平時。,22629,平時
22620,平素時,平時。,28421,平常時仔
22620,平素時,平時。,28422,素常
22621,半精肥,半肥半瘦（的肉）。,18024,半肥瘦
22622,散食,貧窮。缺乏錢財，生活拮据困乏。,28424,貧寒
22623,相向,相向。面對面、正面相對。,28425,對向
22623,相向,相向。面對面、正面相對。,28426,相對向
22624,擲捒,丟掉、扔掉、丟棄。,19617,擲挕捒
22626,著等,入選；得名、獲得名次。,28428,排有生相
22628,當當,正值、適逢。表示正當某個時候。,1789,正當
22629,厝內人,家眷。指眷屬。,22530,家屬
22632,後回,下次、下回。,18590,後改
22632,後回,下次、下回。,28433,下幫
22633,後改,下次、下回。,28434,後幫
22637,喝聲,出聲回應、表態。對於別人的發問，出聲表示贊同與否。,28437,做聲
22640,涼冷,微冷。一般指氣候上的冷。,25781,寒冷
22642,燈膋,燈油。從動物脂肪提煉出來，燃燒以供照明用的油。,19520,燈油
22644,萬不二,萬一。,28447,萬不一
22646,字條仔,字條。,28448,字條
22647,家私頭仔,工具。常指手工具或小型工具。,22248,工具
22647,家私頭仔,工具。常指手工具或小型工具。,28450,家私頭
22649,空身,獨自一人。,19519,獨身仔
22651,麵粉粿仔,麵疙瘩。一種麵食，將一小塊一小塊的麵團放入滾水中煮熟，再加入配料就可食用。,28453,麵粉粿
22654,臭尿破味,尿騷味。,28460,臭尿破羶
22658,大通,主幹道。車流量較大的馬路。,28462,大通路
22662,字目,學問、學識。,28465,學識
22667,根頭,源頭、根源、起源、根本。,24134,源頭
22667,根頭,源頭、根源、起源、根本。,24280,起源
22667,根頭,源頭、根源、起源、根本。,26329,根源
22668,平埔族,平埔族。泛指在十七世紀漢人未移墾臺灣前，便已經分佈在臺灣北部與西部沿海平原的眾多原住民族群。,28468,平埔族群
22668,平埔族,平埔族。泛指在十七世紀漢人未移墾臺灣前，便已經分佈在臺灣北部與西部沿海平原的眾多原住民族群。,28469,平埔原住民
22669,透機,透徹、詳細。,22565,澈底
22669,透機,透徹、詳細。,28471,透澈
22669,透機,透徹、詳細。,28472,齊透
22671,天年,世道。社會的情態、狀況。,28475,時世
22673,推軟仔,柿子挑軟的吃，意指欺負弱小或專挑沒有難度、容易完成的事情做。,28477,食軟仔
22673,推軟仔,柿子挑軟的吃，意指欺負弱小或專挑沒有難度、容易完成的事情做。,28478,抾軟仔
22674,實實,形容裝得滿滿、塞得滿滿的樣子。,28481,實捅捅
22675,實實,胸口悶悶、不舒暢。,28483,縛縛
22681,注心,專心、用心。,28489,注神
22682,大色貨,主要商品。一般指銷量大，為主要獲利來源的商品。,28492,大宗
22683,案桌,置於神佛前之供桌。,18696,香案桌
22684,花血,花俏豔麗。,20300,豔麗
22685,袂見眾,見不得人，上不了檯面的意思。,28496,袂看口
22686,老頹,衰老。指上了年紀的人，各方面的反應都變得遲鈍、退化。,28499,倒頹
22686,老頹,衰老。指上了年紀的人，各方面的反應都變得遲鈍、退化。,28500,老倒頹
22688,平正,公平、公正、無私心。,24680,公正
22691,惜略,惜物，珍惜東西。,25284,愛惜
22693,著味,形容口味對味，有好滋味。,28507,著滋味
22694,手肚仁,上臂內側的肌肉。,28509,手肚肉
22696,對扴,與人作對、唱反調。,26847,做對
22696,對扴,與人作對、唱反調。,28511,攑硬篙
22696,對扴,與人作對、唱反調。,28512,夯硬篙
22701,合該然,理當如此。同意且支持對方提出的處理方式。,24105,理所當然
22702,好頭喙,善於招呼人。,28266,好喙水
22704,牽闔,連累、拖累。,23775,牽涉
22707,相倚傍,互相倚仗、依傍。,28524,相倚靠
22707,相倚傍,互相倚仗、依傍。,28525,相傍倚
22709,青筋,靜脈。皮膚下顏色較暗的靜脈血管。,28528,血脈
22709,青筋,靜脈。皮膚下顏色較暗的靜脈血管。,28529,靜脈
22712,對千,剛好、恰好。,28600,拄千
22716,梨仔瓜,香瓜、甜瓜。產地主要位於臺灣本島的南部與東部，品種主要分為黃皮棗瓜及青皮梨瓜兩大脆瓜類。,28535,黃瓜仔
22716,梨仔瓜,香瓜、甜瓜。產地主要位於臺灣本島的南部與東部，品種主要分為黃皮棗瓜及青皮梨瓜兩大脆瓜類。,28536,青瓜仔
22718,幼工,細活、細工。精密細緻的工作。,28539,幼路工
22718,幼工,細活、細工。精密細緻的工作。,28540,幼穡
