詞目id,詞目類型,漢字,羅馬字,分類,羅馬字音檔檔名
1116,主詞目,水道,tsuí-tō,建築物、結構,1116(1)
1117,主詞目,水道水,tsuí-tō-tsuí,資源礦物,1117(1)
1118,主詞目,手路菜,tshiú-lōo-tshài,食物、飲料、煙酒,1118(1)
1119,主詞目,水道頭,tsuí-tō-thâu,生活用品,1119(1)
1120,主詞目,手銃,tshiú-tshìng,軍事,1120(1)
1121,主詞目,水閘,tsuí-tsa̍h,建築物、結構,1121(1)
1122,主詞目,水電,tsuí-tiān,服務業及其他,1122(1)
1123,主詞目,手電仔,tshiú-tiān-á,生活用品,1123(1)
1124,主詞目,反僥,huán-hiau,待人處事,1124(1)
1125,主詞目,止嗽,tsí-sàu,醫療保健,1125(1)
1126,主詞目,夭壽,iáu-siū,"生養老死,助詞、嘆詞,副詞",1126(1)
1127,主詞目,夭壽仔,iáu-siū-á,,1127(1)
1128,主詞目,夭壽短命,iáu-siū-té-miā,,1128(1)
1129,主詞目,反對,huán-tuì,心理活動,1129(1)
1130,主詞目,手摺簿仔,tshiú-tsih-phōo-á,"生活用品,財務單位、活動",1130(1)
1131,主詞目,太監,thài-kàm,"服務業及其他,政治",1131(1)
1132,主詞目,毋管,m̄-kuán,連詞、介詞,1132(1)
1133,主詞目,毛管,mn̂g-kńg/môo-kńg,生理構造,1133(1)
1134,主詞目,水管,tsuí-kóng,生活用品,1134(1)
1135,主詞目,水蜜桃,tsuí-bi̍t-thô,"蔬果作物,食物、飲料、煙酒",1135(1)
1136,主詞目,引誘,ín-iú,一般動詞-行為動詞,1136(1)
1137,主詞目,日誌,ji̍t-tsì/li̍t-tsì,生活用品,1137(1)
1138,主詞目,心酸,sim-sng,心理狀態,1138(1)
1139,主詞目,水銀,tsuí-gîn/tsuí-gûn,資源礦物,1139(1)
1140,主詞目,歹銅舊錫,pháinn-tâng-kū-siah,廢棄物,1140(1)
1141,主詞目,引魂,ín-hûn,"生養老死,相關器具、活動",1141(1)
1142,主詞目,月餅,gue̍h-piánn/ge̍h-piánn,"食物、飲料、煙酒,相關器具、活動",1142(1)
1143,主詞目,水餃,tsuí-kiáu,食物、飲料、煙酒,1143(1)
1144,主詞目,少數,tsió-sòo,性質、程度,1144(1)
1145,主詞目,欠數,khiàm-siàu,財務單位、活動,1145(1)
1146,主詞目,水槽,tsuí-tsô,生活用品,1146(1)
1147,主詞目,手數料,tshiú-sòo-liāu,錢財資產,1147(1)
1148,主詞目,手模,tshiú-bôo,生理構造,1148(1)
1149,主詞目,手盤,tshiú-puânn,生理構造,1149(1)
1150,主詞目,化緣,huà-iân,相關器具、活動,1150(1)
1151,主詞目,比論,pí-lūn,語言、文字、符號,1151(1)
1152,主詞目,心適,sim-sik,"個性風格,心理狀態",1152(1)
1153,主詞目,化學,huà-ha̍k,教育、學術,1153(1)
1154,主詞目,文學,bûn-ha̍k,文學、藝術,1154(1)
1155,主詞目,手擋,tshiú-tòng,交通、運輸,1155(1)
1156,主詞目,文憑,bûn-pîng,教育、學術,1156(1)
1157,主詞目,天橋,thian-kiô,道路、橋梁,1157(1)
1158,主詞目,心機,sim-ki,心理活動,1158(1)
1159,主詞目,戶橂,hōo-tīng,建築物、結構,1159(1)
1160,主詞目,手橐仔,tshiú-lok-á,衣帽鞋襪,1160(1)
1161,主詞目,手機仔,tshiú-ki-á,郵電、網路,1161(1)
1162,主詞目,水燈,tsuí-ting,相關器具、活動,1162(1)
1163,主詞目,歹積德,pháinn-tsik-tik,道德評價,1163(1)
1164,主詞目,手錶仔,tshiú-pió-á,生活用品,1164(1)
1165,主詞目,心頭,sim-thâu,心理狀態,1165(1)
1166,主詞目,戶頭,hōo-thâu,財務單位、活動,1166(1)
1167,主詞目,手頭,tshiú-thâu,"醫療保健,生活狀況,錢財資產",1167(1)
1168,主詞目,日頭,ji̍t-thâu/li̍t-thâu,"天文,相關器具、活動",1168(1)
1169,主詞目,月頭,gue̍h-thâu/ge̍h-thâu,時間節令,1169(1)
1170,主詞目,水頭,tsuí-thâu,"地理,自然現象",1170(1)
1171,主詞目,日頭花,ji̍t-thâu-hue/li̍t-thâu-hue,花草樹木,1171(1)
1172,主詞目,允頭路,ín-thâu-lōo/ún-thâu-lōo,相關用語,1172(1)
1173,主詞目,水鴨,tsuí-ah,禽類,1173(1)
1174,主詞目,水龍,tsuí-lîng,生產工具,1174(1)
1175,主詞目,水龜,tsuí-ku,"昆蟲類,生活用品,生產工具",1175(1)
1176,主詞目,水龍車,tsuí-lîng-tshia,交通、運輸,1176(1)
1177,主詞目,水鴛鴦,tsuí-uan-iunn,休閒、娛樂,1177(1)
1178,主詞目,反應,huán-ìng,事、物泛稱,1178(1)
1179,主詞目,手環,tshiú-khuân,珠寶飾品,1179(1)
1180,主詞目,天篷,thian-pông,建築物、結構,1180(1)
1181,主詞目,水蕹菜,tsuí-ìng-tshài,"蔬果作物,食物、飲料、煙酒",1181(1)
1182,主詞目,歹聲嗽,pháinn-siann-sàu,氣質態度,1182(1)
1183,主詞目,水螺,tsuí-lê,交通、運輸,1183(1)
1184,主詞目,歹講,pháinn-kóng,境況、狀態-擬事,1184(1)
1185,主詞目,比賽,pí-sài,事、物泛稱,1185(1)
1186,主詞目,水觳仔,tsuí-khok-á,生活用品,1186(1)
1187,主詞目,反輾轉,píng-liàn-tńg,一般動詞-靜態動詞,1187(1)
1188,主詞目,水櫃,tsuí-kuī,"生活用品,建築物、結構",1188(1)
1189,主詞目,歹癖,pháinn-phiah,個性風格,1189(1)
1190,主詞目,水薸,tsuí-phiô,花草樹木,1190(1)
1191,主詞目,水薰吹,tsuí-hun-tshue/tsuí-hun-tshe,食物、飲料、煙酒,1191(1)
1192,主詞目,水雞,tsuí-ke/tsuí-kue,"爬蟲、兩棲類,生理構造",1192(1)
1193,主詞目,水雞泅,tsuí-ke-siû/tsuí-kue-siû,體育、運動,1193(1)
1194,主詞目,水獺,tsuí-thuah,獸類,1194(1)
1195,主詞目,手藝,tshiú-gē,才智能力,1195(1)
1196,主詞目,文藝,bûn-gē,文學、藝術,1196(1)
1197,主詞目,毛蟹,môo-hē,"魚蝦海獸,食物、飲料、煙酒",1197(1)
1198,主詞目,心願,sim-guān,心理活動,1198(1)
1199,主詞目,毋願,m̄-guān,心理狀態,1199(1)
1200,主詞目,文獻,bûn-hiàn,教育、學術,1200(1)
1201,主詞目,戶籍,hōo-tsi̍k,政治,1201(1)
1202,主詞目,手續,tshiú-sio̍k,事、物泛稱,1202(1)
1203,主詞目,手囊,tshiú-lông,衣帽鞋襪,1203(1)
1204,主詞目,心臟,sim-tsōng,"生理構造,性質、程度",1204(1)
1205,主詞目,斗籠,táu-láng,生活用品,1205(1)
1206,主詞目,歹聽,pháinn-thiann,"境況、狀態-擬事,境況、狀態-擬物",1206(1)
1207,主詞目,心臟病,sim-tsōng-pēnn/sim-tsōng-pīnn,傷疾病痛,1207(1)
1208,主詞目,化驗,huà-giām,"科技、工業,醫療保健,教育、學術",1208(1)
1209,主詞目,毋驚,m̄ kiann,心理狀態,1209(1)
1210,主詞目,心驚膽嚇,sim-kiann-tánn-hiannh,心理狀態,1210(1)
1211,主詞目,火,【白】hué/hé,"自然現象,反應、表情,傷疾病痛,心理狀態",1211(1)
1212,主詞目,爪,jiáu/niáu,動物形體、行為,1212(1)
1213,主詞目,父,hū,"宗族、家庭,稱謂輩分",1213(1)
1214,主詞目,爿【替】,pîng,"空間方位,數詞、量詞",1214(1)
1215,主詞目,片,【白】phìnn,"個性風格,事、物泛稱,數詞、量詞",1215(1)
1216,主詞目,牙,【文】gâ,"生理構造,稱謂輩分,生活用品",1216(1)
1217,主詞目,牙,【白】gê,"生理構造,相關器具、活動",1217(1)
1218,主詞目,牛,【白】gû,"獸類,宗族、家庭,食物、飲料、煙酒",1218(1)
1219,主詞目,王,ông,"國家、社會、民眾,宗族、家庭,地位、身世、背景,稱謂輩分,休閒、娛樂",1219(1)
1220,主詞目,牛𡳞脬檨,gû-lān-pha-suāinn,"蔬果作物,食物、飲料、煙酒",1220(1)
1221,主詞目,火大,hué-tuā/hé-tuā,"自然現象,心理狀態",1221(1)
1222,主詞目,火山,hué-suann/hé-suann,"地理,自然現象",1222(1)
1223,主詞目,爪仔,jiáu-á/niáu-á,"動物形體、行為,農林業",1223(1)
1224,主詞目,父兄,hū-hing,"宗族、家庭,稱謂輩分",1224(1)
1225,主詞目,牛仔囝,gû-á-kiánn,獸類,1225(1)
1226,主詞目,牛仔褲,gû-á-khòo,衣帽鞋襪,1226(1)
1227,主詞目,父母,hū-bió,"宗族、家庭,稱謂輩分",1227(1)
1228,主詞目,牛奶,gû-ling/gû-ni,"獸類,食物、飲料、煙酒",1228(1)
1229,主詞目,牛母,gû-bó,獸類,1229(1)
1230,主詞目,牛奶色,gû-ling-sik/gû-ni-sik,顏色、氣味,1230(1)
1231,主詞目,牛奶喙仔,gû-ling-tshuì-á/gû-ni-tshuì-á,生活用品,1231(1)
1232,主詞目,牛奶糖,gû-ling-thn̂g/gû-ni-thn̂g,食物、飲料、煙酒,1232(1)
1233,主詞目,火石仔,hué-tsio̍h-á/hé-tsio̍h-á,生產工具,1233(1)
1234,主詞目,王后,ông-hiō,地位、身世、背景,1234(1)
1235,主詞目,火舌,hué-tsi̍h/hé-tsi̍h,自然現象,1235(1)
1236,主詞目,父老,hū-ló,稱謂輩分,1236(1)
1237,主詞目,火夾,hué-ngeh/hé-ngeh,生活用品,1237(1)
1238,主詞目,牛杙仔,gû-khi̍t-á,農林業,1238(1)
1239,主詞目,火災,hué-tsai/hé-tsai,災禍,1239(1)
1240,主詞目,牛牢,gû-tiâu,"漁牧業,建築物、結構",1240(1)
1241,主詞目,牛肚,gû-tōo,"動物形體、行為,食物、飲料、煙酒",1241(1)
1242,主詞目,火車,hué-tshia/hé-tshia,交通、運輸,1242(1)
1243,主詞目,牛角,gû-kak,"動物形體、行為,食物、飲料、煙酒",1243(1)
1244,主詞目,牛角花,gû-kak-hue,"花草樹木,醫療保健",1244(1)
1245,主詞目,火車站,hué-tshia-tsām/hé-tshia-tsām,"交通、運輸,旅運設施",1245(1)
1246,主詞目,火車路,hué-tshia-lōo/hé-tshia-lōo,道路、橋梁,1246(1)
1247,主詞目,火金蛄,hué-kim-koo/hé-kim-koo,昆蟲類,1247(1)
1248,主詞目,火屎,hué-sái/hé-sái,"自然現象,廢棄物",1248(1)
1249,主詞目,牛屎色,gû-sái-sik,顏色、氣味,1249(1)
1250,主詞目,牛屎鳥仔,gû-sái-tsiáu-á,禽類,1250(1)
1251,主詞目,牛屎龜,gû-sái-ku,昆蟲類,1251(1)
1252,主詞目,火星,hué-tshenn/hé-tshinn,天文,1252(1)
1253,主詞目,火炭,hué-thuànn/hé-thuànn,"資源礦物,生活用品,飲食物具",1253(1)
1254,主詞目,牛郎,Gû-nn̂g,"天文,相關器具、活動",1254(1)
1255,主詞目,王哥柳哥,Ông--ko-Liú--ko,泛稱,1255(1)
1256,主詞目,火氣,hué-khì/hé-khì,"反應、表情,心理狀態",1256(1)
1257,主詞目,火烌,hué-hu/hé-hu,廢棄物,1257(1)
1258,主詞目,牛索,gû-soh,農林業,1258(1)
1259,主詞目,牛捽仔,gû-sut-á,"農林業,漁牧業",1259(1)
1260,主詞目,王梨,ông-lâi,"蔬果作物,食物、飲料、煙酒,相關器具、活動",1260(1)
1261,主詞目,牛陵,gû-niā,動物形體、行為,1261(1)
1262,主詞目,牛喙罨,gû-tshuì-am,農林業,1262(1)
1263,主詞目,牛犅,gû-káng,獸類,1263(1)
1264,主詞目,王爺,ông-iâ,"地位、身世、背景,神明、鬼怪、教派",1264(1)
1265,主詞目,王爺債,ông-iâ-tsè,財務單位、活動,1265(1)
1266,主詞目,王祿仔,ông-lo̍k-á,服務業及其他,1266(1)
1267,主詞目,牛腩,gû-lám,"動物形體、行為,食物、飲料、煙酒",1267(1)
1268,主詞目,火鉗,hué-khînn/hé-khînn,生活用品,1268(1)
1269,主詞目,牛頓草,gû-tùn-tsháu,花草樹木,1269(1)
1270,主詞目,火鼠,hué-tshí/hué-tshú,獸類,1270(1)
1271,主詞目,火種,hué-tsíng/hé-tsíng,生活用品,1271(1)
1272,主詞目,火管,hué-kńg/hé-kńg,生產工具,1272(1)
1273,主詞目,火箸,hué-tī/hé-tū,生活用品,1273(1)
1274,主詞目,牛種仔,gû-tsíng-á,獸類,1274(1)
1275,主詞目,火腿,hué-thuí/hé-thuí,食物、飲料、煙酒,1275(1)
1276,主詞目,牛鼻圈,gû-phīnn-khian,農林業,1276(1)
1277,主詞目,牙槽,gê-tsô,生理構造,1277(1)
1278,主詞目,牙槽骨,gê-tsô-kut,生理構造,1278(1)
1279,主詞目,火熥,hué-thang/hé-thang,生活用品,1279(1)
1280,主詞目,火箭,hué-tsìnn/hé-tsìnn,"天文,科技、工業",1280(1)
1281,主詞目,牛擔,gû-tann,農林業,1281(1)
1282,主詞目,火燒,hué-sio/hé-sio,災禍,1282(1)
1283,主詞目,火燒山,hué-sio-suann/hé-sio-suann,災禍,1283(1)
1284,主詞目,火燒厝,hué-sio-tshù/hé-sio-tshù,災禍,1284(1)
1285,主詞目,火燒埔,hué-sio-poo/hé-sio-poo,"氣候溫度,自然現象,災禍",1285(1)
1286,主詞目,牛螕,gû-pi,"昆蟲類,個性風格",1286(1)
1287,主詞目,牛頭,gû-thâu,"動物形體、行為,泛稱,教育、學術,神明、鬼怪、教派",1287(1)
1288,主詞目,火鍋,hué-ko/hé-ko,飲食物具,1288(1)
1289,主詞目,火薰,hué-hun/hé-hun,自然現象,1289(1)
1290,主詞目,火雞,hué-ke/hé-kue,"禽類,食物、飲料、煙酒",1290(1)
1291,主詞目,火雞母,hué-ke-bó/hé-kue-bó,"禽類,境況、狀態-擬人",1291(1)
1292,主詞目,世,【文】sè,時間節令,1292(1)
1293,主詞目,世,【白】sì,"時間節令,生養老死",1293(1)
1294,主詞目,丙,【白】piánn,"時間節令,性質、程度",1294(1)
1295,主詞目,主,tsú,"地位、身世、背景,稱謂輩分,神明、鬼怪、教派",1295(1)
1296,主詞目,丼【替】,tôm,擬聲、擬態,1296(1)
1297,主詞目,乍【替】,tsànn,飲食行為,1297(1)
1298,主詞目,乎,--honnh,助詞、嘆詞,1298(1)
1299,主詞目,乏,【白】ha̍t,境況、狀態-擬物,1299(1)
1300,主詞目,仔【替】,á,助詞、嘆詞,1300(1)
1301,主詞目,仕,sū,"地位、身世、背景,休閒、娛樂",1301(1)
1302,主詞目,付,hù,一般動詞-行為動詞,1302(1)
1303,主詞目,仙,sian,神明、鬼怪、教派,1303(1)
1304,主詞目,仙【替】,sián,數詞、量詞,1304(1)
1305,主詞目,仝【替】,kāng,性質、程度,1305(1)
1306,主詞目,代,【文】tāi,"時間節令,數詞、量詞",1306(1)
1307,主詞目,代,【白】tē,"時間節令,數詞、量詞",1307(1)
1308,主詞目,代【替】,tāi,,1308(1)
1309,主詞目,令,līng,"時間節令,相關用語",1309(1)
1310,主詞目,以,í,連詞、介詞,1310(1)
1311,主詞目,兄,【白】hiann,"宗族、家庭,稱謂輩分",1311(1)
1312,主詞目,冊,tsheh,"教育、學術,數詞、量詞",1312(1)
1313,主詞目,主人,tsú-lâng,"泛稱,相關用語,婚喪喜慶",1313(1)
1314,主詞目,仙人,sian-jîn/sian-lîn,神明、鬼怪、教派,1314(1)
1315,主詞目,仙女,sian-lí/sian-lú,神明、鬼怪、教派,1315(1)
1316,主詞目,仙丹,sian-tan,相關器具、活動,1316(1)
1317,主詞目,充公,tshiong-kong,法律,1317(1)
1318,主詞目,充分,tshiong-hun,境況、狀態-擬物,1318(1)
1319,主詞目,以及,í-ki̍p,連詞、介詞,1319(1)
1320,主詞目,世代,sè-tāi,時間節令,1320(1)
1321,主詞目,冊包,tsheh-pau,"生活用品,教育、學術",1321(1)
1322,主詞目,主任,tsú-jīm/tsú-līm,相關用語,1322(1)
1323,主詞目,代先,tāi-sing,"時間節令,副詞",1323(1)
1324,主詞目,充血,tshiong-hiat,反應、表情,1324(1)
1325,主詞目,兄弟,hiann-tī,"稱謂輩分,相關用語,交際應酬",1325(1)
1326,主詞目,兄弟姊妹,hiann-tī-tsí-muē/hiann-tī-tsí-bē,宗族、家庭,1326(1)
1327,主詞目,主見,tsú-kiàn,心理活動,1327(1)
1328,主詞目,主角,tsú-kak,戲劇、音樂,1328(1)
1329,主詞目,充足,tshiong-tsiok,境況、狀態-擬物,1329(1)
1330,主詞目,世事,sè-sū,"婚喪喜慶,交際應酬,事、物泛稱",1330(1)
1331,主詞目,仙姑,sian-koo,神職、神巫、信徒,1331(1)
1332,主詞目,冊店,tsheh-tiàm,"建築物、結構,教育、學術",1332(1)
1333,主詞目,冊房,tsheh-pâng,建築物、結構,1333(1)
1334,主詞目,仙拚仙,sian-piànn-sian,"交際應酬,相關器具、活動",1334(1)
1335,主詞目,仝爸各母,kāng-pē-koh-bú,宗族、家庭,1335(1)
1336,主詞目,代表,tāi-piáu,"組織團體,相關用語",1336(1)
1337,主詞目,兄長,hing-tióng,稱謂輩分,1337(1)
1338,主詞目,世俗,sè-sio̍k,"國家、社會、民眾,相關器具、活動",1338(1)
1339,主詞目,以前,í-tsîng,時間節令,1339(1)
1340,主詞目,世俗人,sè-sio̍k-lâng,泛稱,1340(1)
1341,主詞目,以後,í-āu,時間節令,1341(1)
1342,主詞目,主持,tsú-tshî,一般動詞-行為動詞,1342(1)
1343,主詞目,冊架仔,tsheh-kè-á,"生活用品,教育、學術",1343(1)
1344,主詞目,仙洞,sian-tōng,相關器具、活動,1344(1)
1345,主詞目,世界,sè-kài,地理,1345(1)
1346,主詞目,世紀,sè-kí,時間節令,1346(1)
1347,主詞目,主要,tsú-iàu,性質、程度,1347(1)
1348,主詞目,兄哥,hiann-ko,"宗族、家庭,稱謂輩分",1348(1)
1349,主詞目,主席,tsú-si̍k,"組織團體,相關用語,政治",1349(1)
1350,主詞目,仙桃,sian-thô,"蔬果作物,食物、飲料、煙酒,相關器具、活動",1350(1)
1351,主詞目,代書,tāi-su,服務業及其他,1351(1)
1352,主詞目,仙草,sian-tsháu,"蔬果作物,食物、飲料、煙酒",1352(1)
1353,主詞目,主動,tsú-tōng,"個性風格,氣質態度",1353(1)
1354,主詞目,主婚,tsú-hun,"性別、婚姻,婚喪喜慶",1354(1)
1355,主詞目,主婦,tsú-hū,"宗族、家庭,稱謂輩分",1355(1)
1356,主詞目,主張,tsú-tiunn,心理活動,1356(1)
1357,主詞目,世情,sè-tsîng,"生活狀況,交際應酬",1357(1)
1358,主詞目,代理,tāi-lí,一般動詞-行為動詞,1358(1)
1359,主詞目,代替,tāi-thè/tāi-thuè,一般動詞-靜態動詞,1359(1)
1360,主詞目,仝款,kāng-khuán,性質、程度,1360(1)
1361,主詞目,代筆,tāi-pit,文學、藝術,1361(1)
1362,主詞目,世間,sè-kan,空間方位,1362(1)
1363,主詞目,世間人,sè-kan-lâng,泛稱,1363(1)
1364,主詞目,兄嫂,hiann-só,"宗族、家庭,稱謂輩分",1364(1)
1365,主詞目,主意,tsú-ì,心理活動,1365(1)
1366,主詞目,主義,tsú-gī,心理活動,1366(1)
1367,主詞目,且慢,tshiánn-bān,副詞,1367(1)
1368,主詞目,充滿,tshiong-buán,一般動詞-靜態動詞,1368(1)
1369,主詞目,主管,tsú-kuán,地位、身世、背景,1369(1)
1370,主詞目,代誌,tāi-tsì,事、物泛稱,1370(1)
1371,主詞目,主辦,tsú-pān,一般動詞-行為動詞,1371(1)
1372,主詞目,代辦,tāi-pān,一般動詞-行為動詞,1372(1)
1373,主詞目,冊櫥,tsheh-tû,"生活用品,教育、學術",1373(1)
1374,主詞目,主顧,tsú-kòo,商業,1374(1)
1375,主詞目,主權,tsú-khuân,"國家、社會、民眾,政治",1375(1)
1376,主詞目,冬,【白】tang,時間節令,1376(1)
1377,主詞目,凹【替】,nah,形貌、體積,1377(1)
1378,主詞目,出,tshut,,1378(1)
1379,主詞目,刊,khan,"生活用品,教育、學術",1379(1)
1380,主詞目,功,【文】kong,事、物泛稱,1380(1)
1381,主詞目,加【替】,ka,語言、文字、符號,1381(1)
1382,主詞目,加,【文】ka,教育、學術,1382(1)
1383,主詞目,加,【白】ke,副詞,1383(1)
1384,主詞目,包,pau,"生活用品,飲食物具,一般動詞-行為動詞,事、物泛稱",1384(1)
1385,主詞目,北,【白】pak,"地理,空間方位",1385(1)
1386,主詞目,半,【文】puàn,"性質、程度,副詞",1386(1)
1387,主詞目,半,【白】puànn,"性質、程度,數詞、量詞",1387(1)
1388,主詞目,卌,siap,數詞、量詞,1388(1)
1389,主詞目,占,tsiàm,"一般動詞-行為動詞,一般動詞-靜態動詞",1389(1)
1390,主詞目,卡【替】,khah,生活用品,1390(1)
1391,主詞目,卡【替】,kha̍h,一般動詞-靜態動詞,1391(1)
1392,主詞目,卯【替】,báu,一般動詞-靜態動詞,1392(1)
1393,主詞目,卯,báu,時間節令,1393(1)
1394,主詞目,卯【替】,mauh,"感官動作,體態樣貌,形貌、體積",1394(1)
1395,主詞目,去,khì,"生養老死,一般動詞-行為動詞,副詞",1395(1)
1396,主詞目,古,kóo,"時間節令,宗族、家庭,性質、程度",1396(1)
1397,主詞目,句,kù,"語言、文字、符號,數詞、量詞",1397(1)
1398,主詞目,叨【替】,lo,"動物形體、行為,一般動詞-行為動詞",1398(1)
1399,主詞目,叩,【白】khàu,肢體動作,1399(1)
1400,主詞目,只,tsí,"數詞、量詞,副詞",1400(1)
1401,主詞目,只【替】,tsí,數詞、量詞,1401(1)
1402,主詞目,叫,kiò,一般動詞-行為動詞,1402(1)
1403,主詞目,叮,ting,一般動詞-行為動詞,1403(1)
1404,主詞目,叮【替】,tìng,動物形體、行為,1404(1)
1405,主詞目,可,【文】khó,副詞,1405(1)
1406,主詞目,台,tâi,"郵電、網路,建築物、結構,數詞、量詞",1406(1)
1407,主詞目,囚,siû,地位、身世、背景,1407(1)
1408,主詞目,四,【白】sì,數詞、量詞,1408(1)
1409,主詞目,四,【文】sù,數詞、量詞,1409(1)
1410,主詞目,外,【白】guā,空間方位,1410(1)
1411,主詞目,央,【文】iang,"交際應酬,待人處事",1411(1)
1412,主詞目,半䖙倒,puànn-the-tó,肢體動作,1412(1)
1413,主詞目,出丁,tshut-ting,生養老死,1413(1)
1414,主詞目,出入,tshut-ji̍p/tshut-li̍p,"肢體動作,境況、狀態-擬事",1414(1)
1415,主詞目,出力,tshut-la̍t,反應、表情,1415(1)
1416,主詞目,外人,guā-lâng,泛稱,1416(1)
1417,主詞目,去了了,khì-liáu-liáu,"一般動詞-靜態動詞,副詞",1417(1)
1418,主詞目,出口,tshut-kháu,"商業,建築物、結構",1418(1)
1419,主詞目,出土,tshut-thóo,"教育、學術,文學、藝術",1419(1)
1420,主詞目,出山,tshut-suann,"生養老死,婚喪喜慶",1420(1)
1421,主詞目,加工,ke-kang,境況、狀態-擬事,1421(1)
1422,主詞目,半子,puàn-tsú,"宗族、家庭,性別、婚姻,稱謂輩分",1422(1)
1423,主詞目,半工,puànn-kang,時間節令,1423(1)
1424,主詞目,外口,guā-kháu,空間方位,1424(1)
1425,主詞目,半小死,puànn-sió-sí,心理狀態,1425(1)
1426,主詞目,央三託四,iang-sann-thok-sì,一般動詞-行為動詞,1426(1)
1427,主詞目,司公,sai-kong,神職、神巫、信徒,1427(1)
1428,主詞目,外公,guā-kong,"宗族、家庭,稱謂輩分",1428(1)
1429,主詞目,半中站,puànn-tiong-tsām,交通、運輸,1429(1)
1430,主詞目,司公鈃,sai-kong-giang,"花草樹木,相關器具、活動",1430(1)
1431,主詞目,司公壇,sai-kong-tuânn,相關器具、活動,1431(1)
1432,主詞目,冬天,tang-thinn,時間節令,1432(1)
1433,主詞目,出手,tshut-tshiú,"肢體動作,財務單位、活動",1433(1)
1434,主詞目,出水,tshut-tsuí,心理活動,1434(1)
1435,主詞目,半日,puànn-ji̍t/puànn-li̍t,時間節令,1435(1)
1436,主詞目,另日,līng-ji̍t/līng-li̍t,時間節令,1436(1)
1437,主詞目,可比,khó-pí,連詞、介詞,1437(1)
1438,主詞目,四方,sì-hng,空間方位,1438(1)
1439,主詞目,半月日,puànn gue̍h-ji̍t/puànn ge̍h-li̍t,時間節令,1439(1)
1440,主詞目,叫毋敢,kiò-m̄-kánn,反應、表情,1440(1)
1441,主詞目,半天筍,puàn-thian-sún,食物、飲料、煙酒,1441(1)
1442,主詞目,北爿,pak-pîng,空間方位,1442(1)
1443,主詞目,卡片,khah-phìnn,"婚喪喜慶,交際應酬",1443(1)
1444,主詞目,四爿,sì-pîng,空間方位,1444(1)
1445,主詞目,四片仔,sì-phìnn-á,"生養老死,婚喪喜慶",1445(1)
1446,主詞目,出世,tshut-sì,生養老死,1446(1)
1447,主詞目,包仔,pau-á,食物、飲料、煙酒,1447(1)
1448,主詞目,半仙,puàn-sian,服務業及其他,1448(1)
1449,主詞目,古冊,kóo-tsheh,"教育、學術,文學、藝術",1449(1)
1450,主詞目,半世人,puànn-sì-lâng,生養老死,1450(1)
1451,主詞目,出外,tshut-guā,旅行,1451(1)
1452,主詞目,另外,līng-guā,副詞,1452(1)
1453,主詞目,外外,guā-guā,心理活動,1453(1)
1454,主詞目,可可仔,khoo-khóo-ah,食物、飲料、煙酒,1454(1)
1455,主詞目,四句聯,sì-kù-liân,戲劇、音樂,1455(1)
1456,主詞目,司奶,sai-nai,,1456(1)
1457,主詞目,四正,sì-tsiànn,形貌、體積,1457(1)
1458,主詞目,冬瓜,tang-kue,"蔬果作物,食物、飲料、煙酒",1458(1)
1459,主詞目,冬瓜茶,tang-kue-tê,食物、飲料、煙酒,1459(1)
1460,主詞目,半生熟,puànn-tshenn-si̍k/puànn-tshinn-si̍k,食物、飲料、煙酒,1460(1)
1461,主詞目,外交,guā-kau,"交際應酬,外交",1461(1)
1462,主詞目,出名,tshut-miâ,性質、程度,1462(1)
1463,主詞目,出帆,tshut-phâng,交通、運輸,1463(1)
1464,主詞目,只好,tsí-hó,副詞,1464(1)
1465,主詞目,古早,kóo-tsá,時間節令,1465(1)
1466,主詞目,卯死矣,báu--sí--ah,反應、表情,1466(1)
1467,主詞目,出色,tshut-sik,才智能力,1467(1)
1468,主詞目,外行,guā-hâng,才智能力,1468(1)
1469,主詞目,四色牌,sù-sik-pâi,休閒、娛樂,1469(1)
1470,主詞目,外位,guā-uī,地理,1470(1)
1471,主詞目,冬尾,tang-bué/tang-bé,時間節令,1471(1)
1472,主詞目,出巡,tshut-sûn,"相關用語,相關器具、活動",1472(1)
1473,主詞目,四序,sù-sī,心理狀態,1473(1)
1474,主詞目,四秀仔,sì-siù-á,食物、飲料、煙酒,1474(1)
1475,主詞目,出身,tshut-sin,地位、身世、背景,1475(1)
1476,主詞目,加車,ka-tshia,生產工具,1476(1)
1477,主詞目,半身,puànn-sin,生理構造,1477(1)
1478,主詞目,卡車,khah-tshia,交通、運輸,1478(1)
1479,主詞目,出來,tshut-lâi,"肢體動作,境況、狀態-擬事",1479(1)
1480,主詞目,北京,Pak-kiann,地理,1480(1)
1481,主詞目,四季,sù-kuì,時間節令,1481(1)
1482,主詞目,可怕,khó-phà,心理狀態,1482(1)
1483,主詞目,古板,kóo-pán,個性風格,1483(1)
1484,主詞目,司法,su-huat,法律,1484(1)
1485,主詞目,加油站,ka-iû-tsām,"服務業及其他,旅運設施",1485(1)
1486,主詞目,出版,tshut-pán,服務業及其他,1486(1)
1487,主詞目,四物仔,sù-bu̍t-á,醫療保健,1487(1)
1488,主詞目,半空中,puànn-khong-tiong,空間方位,1488(1)
1489,主詞目,四肢,sù-ki,生理構造,1489(1)
1490,主詞目,出門,tshut-mn̂g,"生活勞動,一般動詞-行為動詞",1490(1)
