義項id,詞目漢字,解說,對應義項id,對應詞目漢字,對應解說
9362,退後,後退。向後移動。,3056,向前,往前、向著前方。
9362,退後,後退。向後移動。,12532,進前,向前、前進。
9374,送神,祭灶神。一種民間習俗。舊俗農曆十二月廿三或廿四日，灶神會到天庭陳報人間善惡，民間則於此時藉祭祀送灶神上天。,18591,接神,迎接神佛。
9376,退酒,解酒。消解酒醉的狀態。,9560,酒醉,喝酒過量因而神志不清。
9377,退婚,解除婚約。,18530,定親,訂婚、文定。男女雙方在結婚前締定婚約的儀式。
9381,起程,出發、啟程。,21944,擋恬,停下來。
9387,討債,浪費、蹧蹋。沒有節制、無益的耗費。,6517,虯儉,節儉、節約、儉省。
9387,討債,浪費、蹧蹋。沒有節制、無益的耗費。,11781,減省,儉省、節省。
9387,討債,浪費、蹧蹋。沒有節制、無益的耗費。,13485,節省,節約。
9387,討債,浪費、蹧蹋。沒有節制、無益的耗費。,13512,節儉,節省儉用。
9387,討債,浪費、蹧蹋。沒有節制、無益的耗費。,15014,儉儉仔用,節用、節儉、節省。
9398,起鼓,開鑼、上戲、揭開序幕，傳統戲劇要上演時會先由樂師打鼓準備上戲。,13336,煞鼓,劇終。戲劇終了。用以引申事情或活動結束。
9398,起鼓,開鑼、上戲、揭開序幕，傳統戲劇要上演時會先由樂師打鼓準備上戲。,13338,煞戲,劇終。戲劇終了。引申為一切事物的結束。
9402,起價,漲價。物價上揚。,13683,落價,降價、減價。
9402,起價,漲價。物價上揚。,22407,割引,按售價減除幾成賣出。
9403,討數,討債。索還欠款。,8064,借錢,借用金錢款項。
9408,起碼,至少。,19430,極加,最多、頂多。用來說明數量上、程度上等頂多如何。
9410,退學,學生因為嚴重違反校規或是不及格的科目達到一定比例，而被學校當局勒令不得繼續在校就讀。,209,入學,開始進入學校學習、求學。
9414,起頭,起初、開頭。,4273,尾後,末了、後面、後頭。指時間、空間上的順序較現在這個地方還要來得晚、來得後面的。
9414,起頭,起初、開頭。,13613,落尾,後來、最後。
9414,起頭,起初、開頭。,13614,落尾手,後來、最後。
9414,起頭,起初、開頭。,18995,尾來,到最後、結果。
9414,起頭,起初、開頭。,19026,到尾,到最後。
9504,高明,形容人的能力高超精湛。,659,低路,低能。指不中用。
9509,鬥股,合股。若干人集合資本共同經營事業。,5713,拆股,拆夥。結束合作關係，取回應有的資產、股份。
9509,鬥股,合股。若干人集合資本共同經營事業。,9358,退股,公司的股東退出股分。
9530,高級,較高尚、尊貴，層次等級較高的。,585,低級,比較低下的級別，相對於「高級」而言。
9560,酒醉,喝酒過量因而神志不清。,9376,退酒,解酒。消解酒醉的狀態。
9560,酒醉,喝酒過量因而神志不清。,13763,解酒,醒酒。消解酒醉的狀態。
9594,假,不真實的、虛偽的。,2299,正,真實的。
9594,假,不真實的、虛偽的。,8892,真,純正、不虛假的。
9594,假,不真實的、虛偽的。,14325,實,真的。
9633,做大水,水災、淹水。,7199,洘旱,大旱、旱災。長期不雨所造成的嚴重乾旱。
9635,偏心,偏袒。袒護一方，對某一方存私心。,872,公平,公正。心存正道，沒有偏私。
9635,偏心,偏袒。袒護一方，對某一方存私心。,877,中立,不偏袒。
9635,偏心,偏袒。袒護一方，對某一方存私心。,21940,平棒,公正持平。
9635,偏心,偏袒。袒護一方，對某一方存私心。,22688,平正,公平、公正、無私心。
9645,假包,冒牌貨、贗品。,18895,正範,真品、真貨。也指正牌，正規，名副其實的身份。
9656,健丟,伶俐、靈活。形容小孩子天真活潑、動作俐落。,3474,死板,古板、刻板。僵化不知變通。
9656,健丟,伶俐、靈活。形容小孩子天真活潑、動作俐落。,8592,柴頭,呆板。形容一個人木訥、不解風情。
9659,偏名,綽號、小名。非正式的名字。,1180,戶口名,正名、本名。登記在戶口名簿上的名字，有別一般偏名。
9677,偷食步,作弊、投機取巧。利用時機、不守規定、不按部就班而獲取利益。,13348,照步來,按部就班。照一定的條理順序處理事情。
9677,偷食步,作弊、投機取巧。利用時機、不守規定、不按部就班而獲取利益。,13350,照起工,按部就班，照規矩制度來行事。
9713,做頭,當先。趕在最前面。,22947,押尾後,殿後。走在最後面。
9721,動,改變原狀，靜的相反。,16359,靜,不動、無聲。
9724,動,行為。,16359,靜,不動、無聲。
9745,啄,由本義引申為形容人鼻子尖挺。,22602,𢯾鼻,鼻梁不高。
9745,啄,由本義引申為形容人鼻子尖挺。,22603,𢯾鼻,鼻子下陷。
9788,動產,可移動的財產，如金錢、證券等。,954,不動產,泛指土地及附著於土地上的定著物和改良物。
9795,動搖,不穩固、不堅定而搖擺晃動，多用以指抽象的事物。,9854,堅定,形容人的意志堅毅不動搖。
9832,娶,男子帶女子入門成親。,12918,嫁,女子結婚。
9846,國立,隸屬中央層級，由國家公費所設立的各式機構的銜稱。,4673,私立,不是政府設立，由財團法人或私人創辦的。
9853,堅固,形容物體非常牢固。,23169,爛朽朽,破破爛爛。
9854,堅定,形容人的意志堅毅不動搖。,9795,動搖,不穩固、不堅定而搖擺晃動，多用以指抽象的事物。
9902,密,事物內部空隙小、不稀疏。,10609,疏,不密集。
9902,密,事物內部空隙小、不稀疏。,17622,櫳,稀疏的。
9926,將來,未來。尚未到的時候。,1842,以前,指早於某一段時間之前的時間。
9926,將來,未來。尚未到的時候。,3069,向時,從前、昔日。
9926,將來,未來。尚未到的時候。,5448,往日,過去、以往。過去的日子。
9926,將來,未來。尚未到的時候。,5458,往年,過去、從前。過去的年歲。
9926,將來,未來。尚未到的時候。,5489,往過,以往、以前。
9964,強,健壯、厲害。,8307,弱,體力或能力差。與強相對。
9992,張持,注意、小心。,11918,無張持,不小心。沒注意到。
10003,強硬,態度堅決，不肯退讓。,11014,軟汫,指人的個性軟弱。
10003,強硬,態度堅決，不肯退讓。,11031,軟弱,個性柔弱畏怯。
10003,強硬,態度堅決，不肯退讓。,13662,落軟,軟化、緩和。強硬或倔強的態度變緩和。
10058,患者,病人。患有某種疾病的人。,2847,先生,醫生。
10058,患者,病人。患有某種疾病的人。,17258,醫生,醫師、大夫。經政府相關單位核可，發給證照，可以替人治病的人。
10099,情願,甘心、願意。,1241,毋甘願,不甘心、不甘願。
10099,情願,甘心、願意。,1443,毋情願,不情不願。
10099,情願,甘心、願意。,6650,勉強,勉強。強迫別人去做他所不願意做的事。
10181,救,幫助人或動物等脫離困境、險境或是解除生命危機。,8201,害,故意使別人遭受不幸。
10206,敗市,滯銷。貨品不易銷售，導致價格慘跌。,18644,搶市,暢銷、搶手。
10222,接受,接納，收受。,2976,回,謝絕、辭去。
10222,接受,接納，收受。,5789,拒絕,拒退斷絕，不接受。
10222,接受,接納，收受。,10307,推辭,拒絕、推辭。
10222,接受,接納，收受。,16878,謝絕,委婉地推辭拒絕。
10237,掩崁,隱瞞、包庇。,22631,出破,不該讓人知道的事情被發現或揭發。
10243,接納,接受。,2976,回,謝絕、辭去。
10243,接納,接受。,5789,拒絕,拒退斷絕，不接受。
10243,接納,接受。,10307,推辭,拒絕、推辭。
10243,接納,接受。,16878,謝絕,委婉地推辭拒絕。
10251,捷捷,常常。,22614,一半擺仔,偶爾、一兩次。
10254,敏捷,反應迅速快捷。,22439,慢手,慢吞吞、動作遲緩。
10254,敏捷,反應迅速快捷。,22573,慢鈍,遲鈍、慢吞吞。
10254,敏捷,反應迅速快捷。,23178,鈍跤鈍手,笨手笨腳。形容動作或手腳不靈活。
10307,推辭,拒絕、推辭。,10222,接受,接納，收受。
10307,推辭,拒絕、推辭。,10243,接納,接受。
10307,推辭,拒絕、推辭。,12240,答應,允許、承諾。
10309,接續,連續。相連接、繼續不間斷。,22965,斷站,指做某件事或工程，因故於進行中停止或擱置。
10373,欲,要、想，表示意願。,11930,無愛,不要。
10382,涼,微寒、清涼。,22957,漚翕,天氣悶熱，空氣又不流通。
10422,深,水不淺。,10431,淺,水不深。
10423,深,上下前後距離空間大。,10432,淺,引申為上下前後距離空間小。
10424,深,厚、濃。,10433,淺,引申為薄、少。
10427,深,困難。,10434,淺,引申為顯明、無深度。
10427,深,困難。,22421,淺現,淺顯、淺而易見。
10428,深,近視、遠視度數多。,10435,淺,近視、遠視度數少。
10431,淺,水不深。,10422,深,水不淺。
10432,淺,引申為上下前後距離空間小。,10423,深,上下前後距離空間大。
10433,淺,引申為薄、少。,10424,深,厚、濃。
10434,淺,引申為顯明、無深度。,10427,深,困難。
10435,淺,近視、遠視度數少。,10428,深,近視、遠視度數多。
10436,添,加、增、補。,13005,損,減少。
10449,淑女,端莊嫻淑，既文雅又有德性的女子。,10740,紳士,泛指地方上有聲望的人，或是舉止斯文有禮的人。
10455,淹水,被水覆蓋。,7199,洘旱,大旱、旱災。長期不雨所造成的嚴重乾旱。
10481,清氣,乾淨、清潔。,5271,垃圾,骯髒。汙穢，不乾淨。
10481,清氣,乾淨、清潔。,17776,癩𰣻,骯髒。
10497,清寒,清貧、貧寒。,22524,饒裕,富裕、豐裕。錢財或物資充裕。
10514,爽,心中感到痛快舒暢。,21881,袂爽,心中感到不舒暢。
10529,猛,行動迅速。,12564,鈍,笨拙緩慢。
10542,牽手,太太、老婆。,7152,查埔人,丈夫、老公。
10542,牽手,太太、老婆。,9060,翁,丈夫。女人稱與自己有婚姻關係的男子。
10542,牽手,太太、老婆。,9094,翁婿,丈夫。稱謂。妻子對他人稱自己的丈夫。
10554,現此時,現在、目前。,19040,彼當陣,那時、那陣子。常合音為「向陣」hiàng-tsūn。
10554,現此時,現在、目前。,21889,斯當時,那時、當時，就在那個時間點。
10554,現此時,現在、目前。,22156,當初時,當初、那時候。
10556,爽快,開心、愉快、心情好。,22143,欲死,表示對某事嫌惡不滿。
10559,牽抾,受他人協助，導致某種好的結果。,5775,拖累,連累、牽累。
10559,牽抾,受他人協助，導致某種好的結果。,11045,連累,因事互相拖累。
10609,疏,不密集。,9902,密,事物內部空隙小、不稀疏。
10643,疏忽,做事粗心大意，不周密。,5209,周密,周全。周全細密，考慮完備。
10665,甜蜜,形容食物的味道甜得像蜂蜜一樣。大多比喻生活過得幸福愉快。,16771,艱苦,艱難、痛苦。
10666,疏遠,遠離而不親近。,16261,親近,親善接近。
10666,疏遠,遠離而不親近。,16269,親密,親近。關係親近密切。
10666,疏遠,遠離而不親近。,22594,親戽戽,熟似親密狀、熱絡狀。
10687,第一,最先、最前、最好、最重要地，表示極高的程度。,18771,上尾,最後。
10701,窒倒街,到處都有、充斥四處。貨物多到把整條街塞得滿滿的，用來比喻東西非常多。,11862,無半絲,全無。一點兒也沒有，是加重語氣的用法。
10701,窒倒街,到處都有、充斥四處。貨物多到把整條街塞得滿滿的，用來比喻東西非常多。,11863,無半項,一樣東西都沒有。引申指人一無所知、一無是處、無能的樣子。
10717,粗,不精緻的。,2271,幼,細膩、精緻。常指東西的做工精緻或手藝精細。
10718,粗,不平滑的。,2268,幼,皮膚細嫩的樣子。
10718,粗,不平滑的。,23110,滑溜,光滑。
10739,粗工,粗活。笨重費力的工作。,22718,幼工,細活、細工。精密細緻的工作。
10740,紳士,泛指地方上有聲望的人，或是舉止斯文有禮的人。,10449,淑女,端莊嫻淑，既文雅又有德性的女子。
10758,粗俗,粗糙通俗、便宜的。,12480,貴參參,非常昂貴的。
10774,細粒子,形容身材嬌小。,18764,人懸漢大,大塊頭。形容人的身材高大。
10774,細粒子,形容身材嬌小。,22596,大箍把,指身材高大。有時可以用來貶抑人空有高大的外貌卻不中用。
10774,細粒子,形容身材嬌小。,22692,四壯,指身體強壯或身材魁梧。
10780,粗菜便飯,家常便飯、粗茶淡飯。多為請客時自謙的說法。,23132,魚魚肉肉,大魚大肉。指主要以魚、肉為主的菜餚。
10785,細漢,身材矮小。,669,大漢,身材高大。
10785,細漢,身材矮小。,22692,四壯,指身體強壯或身材魁梧。
10787,細漢,輩份排行在後的。,671,大漢,年長的。排行在先的或較年長的。
10788,粗魯,粗暴魯莽。,1490,文雅,優美、高雅。
10788,粗魯,粗暴魯莽。,2371,幼秀,指動作、行為、工作細膩。
10788,粗魯,粗暴魯莽。,11652,斯文,文雅。人的舉止文雅有禮貌。
10788,粗魯,粗暴魯莽。,12728,雅氣,氣質文雅、高尚。
10791,細膩,做事小心謹慎。,2647,生狂,做事慌慌張張的樣子。
10791,細膩,做事小心謹慎。,11922,無細膩,不小心。
10791,細膩,做事小心謹慎。,22577,趕狂,急忙、倉皇、慌慌張張。
10792,細膩,客氣。,11923,無細膩,不客氣。
10797,細聲,小聲。,729,大聲,聲音宏大、響亮。
10797,細聲,小聲。,21858,大細聲,高聲喧鬧、吵鬧。
10824,聊聊仔,慢慢地、謹慎小心地。,14850,趕緊,加快動作的速度。
10829,脫線,罵人個性散漫，做事不積極，如同衣服的縫線脫落一樣。,387,小心,注意、留意。
10895,許可,准許、答應。,1401,毋准,不允許、不答應。
10910,規氣,乾脆。做事直接乾脆，不拖泥帶水。,4602,沙屑,形容人囉嗦，不乾脆。
10910,規氣,乾脆。做事直接乾脆，不拖泥帶水。,22923,韌鼻,不乾脆。
10942,軟,不堅硬。,18407,𠕇,硬的、堅實的。
10958,這,指代稱較近距離的單數物品。,5417,彼,那個。指稱較遠距離的東西。
10959,這,指代稱較近的單數人、事、物、時間或地方，後接量詞或名詞。,5418,彼,那。指稱較遠的人、事、物、時間或地方，後接量詞或名詞。
10960,通,可以。,1456,毋通,不可以、不要。是一種語氣較委婉的勸說或請求。
10983,軟㽎㽎,軟綿綿。柔軟而且富有彈性。,12118,硬迸迸,硬邦邦。形容物品堅硬，或辦事態度強硬、死板。
10993,透心涼,由嘴、咽喉一直涼到心脾，形容涼極了。,22076,熱翕翕,非常悶熱。
11011,貨尾,存貨。殘存貨品，顧客挑剩的或是有瑕疵的貨品，因為不容易賣出，常會整批拋售。,11080,貨頭,指新上市的貨物。
11014,軟汫,指人的個性軟弱。,10003,強硬,態度堅決，不肯退讓。
11016,貨底,存貨。賣剩下的貨品。,11080,貨頭,指新上市的貨物。
11024,透流,從一而終、有始有終。,22965,斷站,指做某件事或工程，因故於進行中停止或擱置。
11030,軟弱,體質虛弱沒力氣。,21993,勇壯,身體強壯。
11030,軟弱,體質虛弱沒力氣。,22150,勇跤,強壯有力。
11031,軟弱,個性柔弱畏怯。,10003,強硬,態度堅決，不肯退讓。
11033,這站,這陣子、現在。說話當時的前後一段時間或一個節點。,5478,彼站,那陣子、那個時候。離現在比較遠的一段時間。
11033,這站,這陣子、現在。說話當時的前後一段時間或一個節點。,21889,斯當時,那時、當時，就在那個時間點。
11033,這站,這陣子、現在。說話當時的前後一段時間或一個節點。,22156,當初時,當初、那時候。
11035,軟荍荍,有氣無力的樣子。,18408,𠕇硞硞,形容堅硬、強硬。
11041,這陣,現在。當下這個時刻。,5478,彼站,那陣子、那個時候。離現在比較遠的一段時間。
11041,這陣,現在。當下這個時刻。,5479,彼陣,那時、那陣子。
11041,這陣,現在。當下這個時刻。,5495,彼擺,那次。
11041,這陣,現在。當下這個時刻。,21889,斯當時,那時、當時，就在那個時間點。
11041,這陣,現在。當下這個時刻。,22156,當初時,當初、那時候。
11042,這馬,現在。,21889,斯當時,那時、當時，就在那個時間點。
11042,這馬,現在。,22156,當初時,當初、那時候。
11045,連累,因事互相拖累。,10559,牽抾,受他人協助，導致某種好的結果。
11046,連紲,連續、接連不斷。,22965,斷站,指做某件事或工程，因故於進行中停止或擱置。
11049,責備,批評指責。,5196,呵咾,讚美、表揚。
11049,責備,批評指責。,15511,褒,稱讚、恭維。
11056,這搭,這裡。,5483,彼搭,彼處、那裡。離說話者比較遠的地方。
11065,這過,這次。,5495,彼擺,那次。
11074,軟膏膏,形容柔軟。,18408,𠕇硞硞,形容堅硬、強硬。
11075,軟膏膏,形容身體柔弱無力。,18408,𠕇硞硞,形容堅硬、強硬。
11080,貨頭,指新上市的貨物。,11011,貨尾,存貨。殘存貨品，顧客挑剩的或是有瑕疵的貨品，因為不容易賣出，常會整批拋售。
11080,貨頭,指新上市的貨物。,11016,貨底,存貨。賣剩下的貨品。
11088,連續,持續不斷。,22965,斷站,指做某件事或工程，因故於進行中停止或擱置。
11114,陰,表示夜晚、月亮、幽冥界等等與「陽」相對的事物。,12591,陽,日、太陽。引申為表示正、人間、雄性等與「陰」相對的概念。
11127,頂,物品的上方。,230,下,指空間位置「上」的相反。
11135,頂勻,上輩。上一輩、上一代。,360,下勻,後輩、晚輩。
11140,頂月,上個月。,6897,後月日,下個月。
11140,頂月,上個月。,6937,後個月,下個月。
11141,頂月日,上個月。,6897,後月日,下個月。
11141,頂月日,上個月。,6937,後個月,下個月。
11144,頂世人,前世、上輩子。,6901,後世人,下輩子、來世、來生。
11144,頂世人,前世、上輩子。,6904,後出世,下輩子、來世、來生。
11147,頂司,上司、上級。,413,下司,下屬、手下。
11147,頂司,上司、上級。,655,下跤手人,手下、下屬。從事打雜工作的部屬。
11148,頂半身,上半身。,23066,下半身,下半身。
11149,頂半暝,上半夜、前半夜。夜晚以後到午夜十二點之間的時間。,418,下半暝,下半夜、後半夜。夜晚十二點以後到天亮的時間。
11150,都市,人口密度較高、工商交通發達的地區。,3314,庄跤,鄉下。
11150,都市,人口密度較高、工商交通發達的地區。,12525,鄉村,農村、鄉下。鄉下的村落。
11152,都合,時間、地點等條件的配合狀況。源自日語「都合（つごう）」。,1340,毋拄好,搞不好、不湊巧。
11160,野性,性情不溫馴，不受束縛。,13258,溫柔,溫和柔順。
11160,野性,性情不溫馴，不受束縛。,13277,溫馴,溫順、溫和。溫和馴良、平和不粗野。
11163,閉思,個性內向、害羞，靦腆的樣子。,381,大方,舉止得體合宜、不矯飾，有大家風範。
11163,閉思,個性內向、害羞，靦腆的樣子。,695,大範,一個人的舉止十分大方、自然，不受拘束。
11164,頂面,上面。,511,下底,下面、底下。與「頂面」(tíng-bīn)相對。
11164,頂面,上面。,648,下跤,下面、底下。
11165,頂面,上司、上級。,413,下司,下屬、手下。
11173,頂晡,早上、上午。,374,下午,中午過後的時間，指中午十二點到黃昏前的一段時間。
11173,頂晡,早上、上午。,594,下晝,下午。
11173,頂晡,早上、上午。,595,下晡,下午。
11179,頂港,北部。用來稱呼臺灣的北部地區。,609,下港,指臺灣南部地方。
11187,頂過,上次。,6973,後擺,下次、下回。
11187,頂過,上次。,18545,後過,下次。將來。
11187,頂過,上次。,22632,後回,下次、下回。
11187,頂過,上次。,22633,後改,下次、下回。
11195,頂輩,長輩。,706,下輩,晚輩、後輩。子姪輩或是輩分較低的人。
11197,陰曆,陰曆。根據月球繞地球公轉的周期所制定的曆法，又稱為「太陰曆」。如回教世界通行的回曆，一年有三百五十四或三百五十五天。漢族傳統的農曆則屬於「陰陽合曆」。,12664,陽曆,陽曆。根據地球繞太陽公轉的周期所制定的曆法，又稱為「太陽曆」。
11200,頂頭,上面、上頭。,511,下底,下面、底下。與「頂面」(tíng-bīn)相對。
11200,頂頭,上面、上頭。,648,下跤,下面、底下。
11202,頂幫,上次，前一次。,6973,後擺,下次、下回。
11202,頂幫,上次，前一次。,18545,後過,下次。將來。
11202,頂幫,上次，前一次。,22632,後回,下次、下回。
11202,頂幫,上次，前一次。,22633,後改,下次、下回。
11203,頂擺,上次、前回。,733,下擺,下次、下回。
11203,頂擺,上次、前回。,6973,後擺,下次、下回。
11203,頂擺,上次、前回。,18545,後過,下次。將來。
11203,頂擺,上次、前回。,22632,後回,下次、下回。
11203,頂擺,上次、前回。,22633,後改,下次、下回。
11206,頂懸,上面、上頭。,511,下底,下面、底下。與「頂面」(tíng-bīn)相對。
11206,頂懸,上面、上頭。,648,下跤,下面、底下。
11392,喜劇,有圓滿結局的戲劇或是用誇張手法引人發笑的戲劇。,11518,悲劇,以不幸遭遇為主題的戲劇；在情節布局中主角的命運往往產生逆轉，而引起觀眾的同情。也可用來比喻悲慘的事物。
11392,喜劇,有圓滿結局的戲劇或是用誇張手法引人發笑的戲劇。,19145,苦齣,悲劇、苦情戲。
11407,單,獨一、不成雙的。,17234,雙,兩個的、兩邊的、成對的、加倍的。與單相對。
11424,報仇,報復。用行動來打擊仇敵以發洩心中的怨恨。,11437,報恩,報答他人的恩惠。
11424,報仇,報復。用行動來打擊仇敵以發洩心中的怨恨。,11445,報答,酬謝恩惠。
11432,喪事,人死後的殮葬、哀祭等事宜。,22552,喜事,婚嫁或一切值得慶賀的事。
11437,報恩,報答他人的恩惠。,11424,報仇,報復。用行動來打擊仇敵以發洩心中的怨恨。
11437,報恩,報答他人的恩惠。,11443,報復,報仇。對傷害自己的人以類似的手段進行反擊。
11438,單純,形容人或事物簡單而不複雜。,15552,複雜,事物繁複不單純。
11443,報復,報仇。對傷害自己的人以類似的手段進行反擊。,11437,報恩,報答他人的恩惠。
11443,報復,報仇。對傷害自己的人以類似的手段進行反擊。,11445,報答,酬謝恩惠。
11445,報答,酬謝恩惠。,11424,報仇,報復。用行動來打擊仇敵以發洩心中的怨恨。
11445,報答,酬謝恩惠。,11443,報復,報仇。對傷害自己的人以類似的手段進行反擊。
11456,媠,漂亮的、美麗的。,18334,䆀,醜陋。
11457,富,充裕的財產、財物。,15372,窮,貧乏、貧困。
11457,富,充裕的財產、財物。,15373,窮,貧乏、貧困。
11458,寒,一般指氣候上的冷。,15316,熱,因為大氣溫度高於人體體溫而產生的感覺。
11473,寒人,冬天。,15334,熱人,夏天。一年四季中的第二季。
11473,寒人,冬天。,15335,熱天,夏天。一年四季中的第二個季節，一般而言氣候較熱。
11474,媒人公,專指男性的媒人。,11475,媒人婆,媒婆。替人作媒的婦女。
11475,媒人婆,媒婆。替人作媒的婦女。,11474,媒人公,專指男性的媒人。
11478,富戶,有錢人家。,11667,散食人,窮人。指收入所得比一般水準來得低的人。又作「散赤人」(sàn-tshiah-lâng)。
11479,寒天,冬天。一年四季中最後一個季節，氣候寒冷。,15334,熱人,夏天。一年四季中的第二季。
11479,寒天,冬天。一年四季中最後一個季節，氣候寒冷。,15335,熱天,夏天。一年四季中的第二個季節，一般而言氣候較熱。
11482,尊長,長輩。,360,下勻,後輩、晚輩。
11482,尊長,長輩。,706,下輩,晚輩、後輩。子姪輩或是輩分較低的人。
11482,尊長,長輩。,4404,序細,晚輩、後輩。
11495,尊敬,敬重、尊崇。,7476,看袂起,瞧不起。
11495,尊敬,敬重、尊崇。,19133,看袂上目,看不上眼、輕視。
11496,富裕,形容富足、充裕。,11663,散赤,貧窮、窮困。缺乏錢財，生活拮据困乏。
11518,悲劇,以不幸遭遇為主題的戲劇；在情節布局中主角的命運往往產生逆轉，而引起觀眾的同情。也可用來比喻悲慘的事物。,9020,笑詼,笑話、笑料。令人發笑歡樂的事物。
11518,悲劇,以不幸遭遇為主題的戲劇；在情節布局中主角的命運往往產生逆轉，而引起觀眾的同情。也可用來比喻悲慘的事物。,11392,喜劇,有圓滿結局的戲劇或是用誇張手法引人發笑的戲劇。
11522,悲觀,沮喪或負面的人生態度。,15235,樂觀,對人生或一切事物的發展充滿信心和希望的生活態度。
11623,敢,有膽識，毫不畏懼的。,1471,毋敢,不敢。心中怯懦，以致於不能付諸行動。
11637,敨,打開、解開。,8171,套,將遮蓋物覆蓋在實際物品的外面。
11645,散凶,貧窮、窮困。缺乏錢財，生活拮据困乏。,3344,好額,富裕、富有。
11646,散凶人,窮人。貧苦的人。,3345,好額人,有錢人。錢財充裕、生活富足的人。
11646,散凶人,窮人。貧苦的人。,3564,有錢人,富有的人。
11646,散凶人,窮人。貧苦的人。,9322,財主,富翁。指有錢人。
11652,斯文,文雅。人的舉止文雅有禮貌。,10788,粗魯,粗暴魯莽。
11663,散赤,貧窮、窮困。缺乏錢財，生活拮据困乏。,3344,好額,富裕、富有。
11663,散赤,貧窮、窮困。缺乏錢財，生活拮据困乏。,11496,富裕,形容富足、充裕。
11663,散赤,貧窮、窮困。缺乏錢財，生活拮据困乏。,22524,饒裕,富裕、豐裕。錢財或物資充裕。
11667,散食人,窮人。指收入所得比一般水準來得低的人。又作「散赤人」(sàn-tshiah-lâng)。,3345,好額人,有錢人。錢財充裕、生活富足的人。
11667,散食人,窮人。指收入所得比一般水準來得低的人。又作「散赤人」(sàn-tshiah-lâng)。,3564,有錢人,富有的人。
11667,散食人,窮人。指收入所得比一般水準來得低的人。又作「散赤人」(sàn-tshiah-lâng)。,9322,財主,富翁。指有錢人。
11667,散食人,窮人。指收入所得比一般水準來得低的人。又作「散赤人」(sàn-tshiah-lâng)。,11478,富戶,有錢人家。
11676,散票,零鈔、小鈔。小額的紙幣，不包含硬幣。,18785,大百,大鈔。大面額的鈔票。
11676,散票,零鈔、小鈔。小額的紙幣，不包含硬幣。,18792,大張的,特指大鈔。指千元以上，大面額大的鈔票。
11678,普通,通常、一般。,22576,怪奇,奇怪、奇特、蹊蹺。
11729,期待,希望、盼望。,2429,失望,希望落空，心裡難過。
11736,暑假,各級學校因為夏天暑熱而放假，時間通常是在七月、八月。,13269,歇寒,放寒假。
11776,殘忍,兇惡狠毒。,1002,仁慈,和善、善良。慈悲，寬大慈善。
11781,減省,儉省、節省。,8674,浪費,沒有節制、無益的耗費。
11781,減省,儉省、節省。,9387,討債,浪費、蹧蹋。沒有節制、無益的耗費。
11782,欺負,欺悔、欺凌。,8879,疼痛,疼愛、關切憐惜。
11782,欺負,欺悔、欺凌。,13358,照顧,照料、看顧、幫助。
11786,殘酷,殘忍、冷酷無情。,1002,仁慈,和善、善良。慈悲，寬大慈善。
11825,無,沒有。,3386,有,表事實或狀況的正面存在，與「無」(bû)相對。
11826,焦,形容物體乾燥，沒有水分。,16016,澹,溼。
11826,焦,形容物體乾燥，沒有水分。,16637,溼,含有微量水分而覺得潮溼不乾爽。
11838,無一定,不一定、不確定。,2448,必然,確定不移。
11840,無人緣,沒有人緣，不討人喜歡。,3431,有人緣,人緣好。和大家相處融洽、關係良好。
11849,無天理,沒有天理。通常用在感嘆人事不公。,18814,天公地道,天地間原本如此而不容改變的道理。非常公平公道。
11849,無天理,沒有天理。通常用在感嘆人事不公。,22701,合該然,理當如此。同意且支持對方提出的處理方式。
11850,無毋著,沒錯。,1489,毋著,不對。
11862,無半絲,全無。一點兒也沒有，是加重語氣的用法。,10701,窒倒街,到處都有、充斥四處。貨物多到把整條街塞得滿滿的，用來比喻東西非常多。
11862,無半絲,全無。一點兒也沒有，是加重語氣的用法。,14508,滿四界,處處、遍地。到處都是。
11862,無半絲,全無。一點兒也沒有，是加重語氣的用法。,22070,規山坪,滿山遍野。
11862,無半絲,全無。一點兒也沒有，是加重語氣的用法。,22071,規山坪,比喻到處都是。
11863,無半項,一樣東西都沒有。引申指人一無所知、一無是處、無能的樣子。,10701,窒倒街,到處都有、充斥四處。貨物多到把整條街塞得滿滿的，用來比喻東西非常多。
11863,無半項,一樣東西都沒有。引申指人一無所知、一無是處、無能的樣子。,14508,滿四界,處處、遍地。到處都是。
11863,無半項,一樣東西都沒有。引申指人一無所知、一無是處、無能的樣子。,22070,規山坪,滿山遍野。
11863,無半項,一樣東西都沒有。引申指人一無所知、一無是處、無能的樣子。,22071,規山坪,比喻到處都是。
11870,無步,沒轍。沒辦法。,22732,有法度,有辦法、有能力。
11872,無事使,喻沒有用、不中用。,3541,有路用,有用處、有益處。
11878,無定著,也許、說不定。,2448,必然,確定不移。
11878,無定著,也許、說不定。,22855,定規,必定、必然、肯定。
11879,無定著,指小孩子不安定，無法安靜下來。,22653,得定,鎮定、穩重。
11880,無拄好,不巧。,22106,千拄千,無巧不成書，準確的有點異常。
11880,無拄好,不巧。,22657,拄仔,恰恰、恰巧。
11880,無拄好,不巧。,22712,對千,剛好、恰好。
11881,無所謂,不要緊、沒關係。,3487,有要緊,對事情嚴重程度的一種慣用說法。
11883,無法度,沒辦法、沒能力。,22732,有法度,有辦法、有能力。
11883,無法度,沒辦法、沒能力。,23051,有路來,有辦法、做得來。
11888,無的確,說不定、不一定。,2448,必然,確定不移。
