義項id,詞目漢字,解說,對應義項id,對應詞目漢字,對應解說
703,大賣,批發的生意，指成批買賣商品。,704,小賣,零售商。將貨品零星出售給消費者的商人。相反的，「大賣」(tuā-bē)指的就是批發商。
703,大賣,批發的生意，指成批買賣商品。,22383,小盤,零售商。將貨品零星出售給消費者的商人。
704,小賣,零售商。將貨品零星出售給消費者的商人。相反的，「大賣」(tuā-bē)指的就是批發商。,703,大賣,批發的生意，指成批買賣商品。
704,小賣,零售商。將貨品零星出售給消費者的商人。相反的，「大賣」(tuā-bē)指的就是批發商。,21861,中盤,大量購買商品再轉賣給零售商，賺取差額利潤的商人。
706,下輩,晚輩、後輩。子姪輩或是輩分較低的人。,2895,先輩,前輩、先進。尊稱年齡或輩份較長的人。
706,下輩,晚輩、後輩。子姪輩或是輩分較低的人。,4369,序大,長輩。指輩份高，年紀大的人。
706,下輩,晚輩、後輩。子姪輩或是輩分較低的人。,6521,長輩,輩分高、年紀長的人。
706,下輩,晚輩、後輩。子姪輩或是輩分較低的人。,6665,前輩,長輩。年長或資歷深的人。
706,下輩,晚輩、後輩。子姪輩或是輩分較低的人。,11195,頂輩,長輩。
706,下輩,晚輩、後輩。子姪輩或是輩分較低的人。,11482,尊長,長輩。
715,山頭,山頂。,654,山跤,山腳。山下靠近平地的部分。
727,上濟,至多、頂多。指在最壞的情況下。,3662,至少,最少、最低限度。
727,上濟,至多、頂多。指在最壞的情況下。,18773,上無,至少、起碼。
729,大聲,聲音宏大、響亮。,10797,細聲,小聲。
733,下擺,下次、下回。,11203,頂擺,上次、前回。
733,下擺,下次、下回。,21888,頂改,上次、上回。
733,下擺,下次、下回。,22634,頂回,上次、以前、之前的事情。
735,土雞仔,土雞。不是人工圈養吃飼料的雞。,3876,肉雞仔,肉雞。專門供作食用的雞。
777,今,此時、現在。,1950,古,過去久遠的時代。
777,今,此時、現在。,22156,當初時,當初、那時候。
781,內,裡。裡面。,1982,外,方位名。不在特定範圍之內均稱為「外」。相對於「內」而言。
784,內,裡。裡面。,1982,外,方位名。不在特定範圍之內均稱為「外」。相對於「內」而言。
786,內,指國內的政務。,1985,外,非本國的。
787,公,雄性的。,2311,母,釋義參見【母】bó 條。
795,冇,鬆軟。結構不紮實。,18407,𠕇,硬的、堅實的。
797,冗,鬆、寬。形容東西、事物不緊或寬鬆的樣子。,12167,絚,緊。嚴密，不放鬆。
798,冗,形容金錢方面的寬裕。,12168,絚,形容生活困窘，不寬裕。
801,凶,不吉利的。,2942,吉,美好的、善的。
814,勼,縮小、收縮。,22589,探,伸出去。
819,內䘥仔,無袖內衣。,2091,外衫,外衣。穿在外面的衣服。
824,內才,內涵。一個人的內在修為、學識、才華。,18498,外才,交際能力。口頭表達或待人接物等交際的能力。
829,五仁,插科打諢。形容人行為滑稽、詼諧，逗人發笑。,2073,古板,死板。作風保守、固執不知變通。
837,勻勻仔,慢慢地、謹慎小心地。,14850,趕緊,加快動作的速度。
840,不中用,東西不合用、不好使用。,875,中用,物品很好使用，容易使用。
840,不中用,東西不合用、不好使用。,3541,有路用,有用處、有益處。
841,不中用,形容沒有才能，像廢物一樣的人。,876,中用,形容人很有能力、很好差遣。
851,冇手,大方、慷慨。,22125,㾀屎,器量狹小，用度過分節儉。吝嗇，不大方。
859,六月冬,夏稻、夏穫。夏季收穫的農作物、第一期稻作所收成的農作物。,18592,晚冬,二期稻作。
872,公平,公正。心存正道，沒有偏私。,9635,偏心,偏袒。袒護一方，對某一方存私心。
875,中用,物品很好使用，容易使用。,840,不中用,東西不合用、不好使用。
875,中用,物品很好使用，容易使用。,11937,無路用,沒有用、不中用。
876,中用,形容人很有能力、很好差遣。,841,不中用,形容沒有才能，像廢物一樣的人。
876,中用,形容人很有能力、很好差遣。,11937,無路用,沒有用、不中用。
876,中用,形容人很有能力、很好差遣。,22759,半病仔,喻指不中用、無能的人。
877,中立,不偏袒。,9635,偏心,偏袒。袒護一方，對某一方存私心。
891,內行,對某種事或工作有豐富的知識和經驗。,2057,外行,形容人對某事沒經驗或不了解。
899,不孝,對長輩不孝順。,3463,有孝,孝順。侍奉父母尊長，克盡人子孝道。
905,公事,公眾的事務。,4681,私事,個人的事。
909,內底,裡面、內部。,2002,外口,外面。外頭、外邊。
909,內底,裡面、內部。,2094,外面,外面、外頭、外邊。
916,公的,雄性的動物、陽性的器物。,2391,母的,雌的。雌性動植物。
917,分的,收養的小孩。,16253,親生,親自生育的。
922,內政,國家內部的政事。,2048,外交,以和平的方法，處理對外的關係。通常或指一國的外交政策，或指處理外交的程序。
930,內科,依照病人對症狀的敘述，以用藥、打針來治療身體內部的各種疾病，而不動外科手術。,2088,外科,臨床醫學的一大分支。主要處理身體的急性損傷，以及一些非手術治療不可的慢性疾病。
934,內衫,內衣。貼身穿在上身的衣服，通常較薄。,2091,外衫,外衣。穿在外面的衣服。
938,內面,裡面、內部。,2002,外口,外面。外頭、外邊。
938,內面,裡面、內部。,2094,外面,外面、外頭、外邊。
939,允准,允許、准許。,1401,毋准,不允許、不答應。
940,內套,女用上身內襯。,2091,外衫,外衣。穿在外面的衣服。
940,內套,女用上身內襯。,2097,外套,在平常服裝外面所加的禦寒外衣，稱為「外套」。
945,公家,屬於政府的、公眾的。,2495,民營化,為提升國家競爭力和事業經營效率，將國營事業轉變由民間出資經營。
947,不時,隨時、經常。無論什麼時候。,22614,一半擺仔,偶爾、一兩次。
954,不動產,泛指土地及附著於土地上的定著物和改良物。,9788,動產,可移動的財產，如金錢、證券等。
973,冗剩,寬裕。,22575,缺欠,不足、不夠、匱乏、窮乏。
974,內場,賭博中，稱莊家為「內場」。,2142,外場,賭博中，稱莊腳為「外場」。
976,內場,店家不直接面對客人的場所及人員。如餐廳的廚房。,2143,外場,劇場、店家直接面對觀眾、客人的場所及人員。
978,分散,分離散開。,16763,聯合,連合、結合。
991,分開,分離、分散。,12698,集中,集合、匯聚在一起。
991,分開,分離、分散。,12707,集合,會合、聚在一起。
991,分開,分離、分散。,13180,會合,照約定好的時間及地點彼此聚會、集合。
1002,仁慈,和善、善良。慈悲，寬大慈善。,11776,殘忍,兇惡狠毒。
1002,仁慈,和善、善良。慈悲，寬大慈善。,11786,殘酷,殘忍、冷酷無情。
1002,仁慈,和善、善良。慈悲，寬大慈善。,14891,酷刑,殘忍、心狠手辣。
1029,中醫,中國傳統的醫學。,3911,西醫,採用西洋醫術的醫生或醫療方法。
1062,天,地球周圍，日月星辰羅列的空間，宗教上是指神靈居住的世界。,3138,地,人類萬物棲息生長的場所。
1067,天,地球周圍，日月星辰羅列的空間，宗教上是指神靈居住的世界。,3138,地,人類萬物棲息生長的場所。
1073,夫,婚後女子對男子的稱謂。,5242,妻,稱謂。男子稱自己的正式配偶。
1073,夫,婚後女子對男子的稱謂。,8275,家後,妻子、太太。
1076,少,多的相反。大多用於可計數之實體性物質。,1431,少缺,不缺、多得很。多用在反詰口氣。
1076,少,多的相反。大多用於可計數之實體性物質。,6686,厚,指數量多的。
1076,少,多的相反。大多用於可計數之實體性物質。,16640,濟,多。
1127,歹,壞。惡的、不好的。,3147,好,美、善、佳等與「壞」相對的正面形容。
1165,少女,年輕未婚的女孩子。,6479,阿婆,老婦。對年長婦人的通稱。
1180,戶口名,正名、本名。登記在戶口名簿上的名字，有別一般偏名。,9659,偏名,綽號、小名。非正式的名字。
1197,太太,丈夫稱呼自己的妻子。,7152,查埔人,丈夫、老公。
1200,歹天,惡劣的天氣。,3197,好天,好天氣。晴朗、氣溫宜人，令人覺得舒爽。
1200,歹天,惡劣的天氣。,22413,大晡日,出大太陽的好天氣。
1201,歹心,壞心。形容人居心不良或心腸惡毒。,3199,好心,善心、善意。
1214,歹代,壞事、惡事。,18933,好代,好事、善行事。
1215,歹代,壞事、壞消息。,18934,好代,好消息。
1223,文市,零售商行。,6020,武市,從事外送、大宗買賣，主動開發客源的商行。
1241,毋甘願,不甘心、不甘願。,2606,甘心,寧願、情願。自己願意，沒有半點勉強。
1241,毋甘願,不甘心、不甘願。,2780,甘願,寧願、情願。自己願意，沒有半點勉強。
1241,毋甘願,不甘心、不甘願。,10099,情願,甘心、願意。
1244,月光暝,月夜。有月光的夜晚。,1498,月暗暝,暗夜、月黑天。沒有月光的夜晚。
1249,歹囝,不良少年、浪蕩子。,3218,好囝,潔身自愛，積極進取的孩子。
1255,少年,年紀輕。,9144,臭老,老相、老態。形容一個人的外表看起來比實際年齡老。
1255,少年,年紀輕。,23149,老相,老態。像老人的相貌。
1262,歹年冬,荒年、歉歲。農作物收成不好的年頭。,3223,好年冬,豐年。指農作物豐收的年頭。
1264,毋好勢,不方便、不湊巧。,22657,拄仔,恰恰、恰巧。
1267,歹死,臨終時遭受痛苦。,3224,好死,壽終正寢。形容人享盡天年，在家中自然死亡。
1268,毋成,不成、算不上。,3353,成,成為。
1269,毋成人,不肖之徒。罵人不像樣。,21991,成樣,形容人經訓練或材料經處理之後成某規格之才能或樣貌。
1271,毋成囝,不良少年、小混混。,3218,好囝,潔身自愛，積極進取的孩子。
1275,毋成樣,不像話、不像樣。,21991,成樣,形容人經訓練或材料經處理之後成某規格之才能或樣貌。
1275,毋成樣,不像話、不像樣。,23104,成款,像樣。達到令人滿意的樣子。
1284,毋但,不只、不但。,613,干焦,只有、僅僅。
1286,毋免,不必、不用、不需要。,2402,必要,絕對需要，不可缺少的。
1290,月尾,月底。指一個月的最後幾天。,1330,月初,月頭、上旬。一個月剛開始的頭幾天。
1290,月尾,月底。指一個月的最後幾天。,1588,月頭,月初。每月起初的幾天。
1298,反抗,心中不服而予以抗拒。,12736,順從,遵從、依從。
1298,反抗,心中不服而予以抗拒。,22572,壓落底,壓制使順從、壓制使屈服。
1311,歹育飼,不容易扶養，指小孩子身體不好、多病。,3240,好育飼,指孩子健康，很好養育。
1330,月初,月頭、上旬。一個月剛開始的頭幾天。,1290,月尾,月底。指一個月的最後幾天。
1330,月初,月頭、上旬。一個月剛開始的頭幾天。,23015,月底,月底。每個月的最後幾天。
1331,歹命,苦命、不幸。命運不好、沒有福份。,19684,好命,命好。即指人的出身好或際遇好。
1333,歹命人,命運坎坷的人。,3345,好額人,有錢人。錢財充裕、生活富足的人。
1333,歹命人,命運坎坷的人。,3564,有錢人,富有的人。
1336,手底,手掌。,1562,手盤,手背。
1339,歹性地,性情不好，容易發脾氣。,3248,好性地,脾氣好、不隨便動怒。
1340,毋拄好,搞不好、不湊巧。,5672,拄好,恰巧、剛好。
1340,毋拄好,搞不好、不湊巧。,11152,都合,時間、地點等條件的配合狀況。源自日語「都合（つごう）」。
1340,毋拄好,搞不好、不湊巧。,22106,千拄千,無巧不成書，準確的有點異常。
1340,毋拄好,搞不好、不湊巧。,22657,拄仔,恰恰、恰巧。
1340,毋拄好,搞不好、不湊巧。,22712,對千,剛好、恰好。
1356,歹空,無利可圖、不好的事。,3249,好空,好機會、好事情。
1356,歹空,無利可圖、不好的事。,4135,利益,好處。
1356,歹空,無利可圖、不好的事。,22890,利頭,利益、好處。
1358,毋知,不知、不知道。,6151,知,明白、了解。
1358,毋知,不知、不知道。,6204,知影,知道、懂得。
1361,毋知影,不知、不知道。,6151,知,明白、了解。
1361,毋知影,不知、不知道。,6204,知影,知道、懂得。
1374,支持,協助、贊同。,1539,反對,不贊成。
