詞目id,詞目漢字,對應詞目id,對應詞目漢字
1003,巴郎,1519,四破
1003,巴郎,18122,瓜魚
1018,及時,9009,著時
1038,手耙,19691,鐵耙
1039,欠缺,1299,乏
1039,欠缺,18824,缺欠
1045,反常,13906,反形
1045,反常,14553,變相
1065,木麻黃,17951,木麻
1065,木麻黃,17952,木麻樹仔
1065,木麻黃,19075,麻黃仔
1068,止喙焦,17956,止渴
1068,止喙焦,18117,生津止渴
1068,止喙焦,19302,煞喙焦
1081,天窗,837,天井
1081,天窗,7519,深井
1093,歹勢,904,毋好勢
1093,歹勢,3448,見笑
1109,歹話,17987,歹聽話
1146,水槽,1188,水櫃
1146,水槽,17977,水槽仔
1188,水櫃,17959,水塔
1239,火災,1282,火燒
1239,火災,1284,火燒厝
1262,牛喙罨,17992,牛喙箍
1266,王祿仔,17993,王祿仔仙
1299,乏,806,欠
1299,乏,1039,欠缺
1316,仙丹,13333,靈丹
1365,主意,18900,做主
1519,四破,1003,巴郎
1519,四破,18033,四破魚
1519,四破,19179,硬尾仔
1519,四破,19440,銅鏡鰺
1522,可能,460,凡勢
1543,半陰陽仔,18037,半陰陽
1551,可惱,18026,可恨
1557,叫菜,19615,點菜
1571,半節,18049,半橛
1619,加薦仔,18019,加志
1623,包穡頭,19211,貿工課
1623,包穡頭,19216,貿穡頭
1662,本人,11919,親身
1693,布市仔,18060,布市
1722,本命錢,19214,買命錢
1801,失算,18089,失策
1801,失算,18475,拍錯桱
1865,石工,18064,打石師
1865,石工,18107,石匠
1900,立志,18336,決志
1947,生理場,7052,商場
1956,白喉,18369,走馬喉
1962,皮猴戲,18132,皮戲
1966,白菜,7325,捲心白
1966,白菜,18010,包心白仔
1998,目標,11175,標準
2007,申請,11415,請求
2010,石磨,18130,石磨仔
2010,石磨,19531,磨仔
2026,目鏡仁,19667,鏡仁
2067,先知,2098,先覺
2095,光頭,18372,芋圓頭
2095,光頭,18379,芋顱仔頭
2095,光頭,18380,芋顱頭
2098,先覺,2067,先知
2134,吊大筒,18154,吊大筒射
2139,名片,17997,片鴻
2139,名片,18171,名刺
2161,名字,18172,名姓
2169,各位,18164,列位
2169,各位,19483,諸位
2180,在來米,18013,尖仔米
2196,合約,18162,合同
2196,合約,23610,契約
2198,合倚,18181,合做伙
2214,名產,17817,土產
2243,回魂,19605,還魂
2261,合軀,18168,合身
2269,圳,9639,溝
2321,奸臣,216,小人
2327,地形,18222,地勢
2332,多事,5923,家婆
2333,如來佛祖,19683,釋迦牟尼佛
2363,地理,5578,風水
2376,存款,18937,寄金
2395,字劃,18219,字畫
2429,扛,11650,擔
2433,扦,13413,鑿
2444,死,2457,死亡
2445,有一日,18227,有一工
2475,死囡仔脯,18233,死囡仔災
2475,死囡仔脯,18234,死囡仔胎
2484,收束,2574,收縮
2484,收束,12250,縮
2497,收拾,5701,修理
2515,收租,18247,收稅金
2543,有聖,13345,靈感
2543,有聖,13346,靈聖
2543,有聖,18255,有靈聖
2547,有路用,638,中用
2564,收據,18245,收單
2572,有頭有尾,18252,有頭尾
2574,收縮,2484,收束
2574,收縮,12250,縮
2586,竹,2629,竹仔
2608,米𧉟,2802,米龜
2608,米𧉟,2812,米蟲
2629,竹仔,2586,竹
2648,自由,2650,自在
2650,自在,2648,自由
2666,羊角豆仔,18338,決明
2666,羊角豆仔,18838,草決明
2666,羊角豆仔,18980,望江南
2666,羊角豆仔,19404,槐豆
2673,考官,18275,考試官
2708,米粉炒,18489,炒米粉
2713,米酒頭仔,18264,米酒頭
2720,老娼頭,18266,老娼
2720,老娼頭,19107,媌頭
2735,竹棑,18270,竹棑仔
2735,竹棑,19124,棑仔
2742,老牌子,19631,舊標頭
2750,米絞,18272,米絞仔
2763,考試,8560,測驗
2763,考試,12191,檢定
2775,肉粽,19518,燒肉粽
2796,米糕𣻸,10797,膏膏纏
2796,米糕𣻸,13270,纓纏
2796,米糕𣻸,13992,交纏
2802,米龜,2608,米𧉟
2802,米龜,2812,米蟲
2812,米蟲,2608,米𧉟
2812,米蟲,2802,米龜
2825,考驗,8560,測驗
2825,考驗,10050,試驗
2826,米籮,18281,米籮仔
2827,米粩,19072,麻米粩仔
2830,衣,18653,胎衣
2833,西刀舌,18282,西施舌
2858,佇,2909,佇咧
2858,佇,4771,咧
2878,伸勻,18292,伸輪
2882,佃戶,1897,田佃
2882,佃戶,18291,佃農
2909,佇咧,2858,佇
2909,佇咧,4771,咧
2925,免費,18293,免錢
2937,免錢飯,19157,無錢飯
2937,免錢飯,19674,櫳仔飯
2979,吸石,18304,吸鐵
2988,利便,983,方便
2988,利便,23016,便利
2993,吵家抐計,18299,吵家鬧宅
3020,坉,9359,填
3040,告訴,18273,自訴
3046,坐禪,12002,靜坐
3086,孝孤,7702,祭孤
3093,尪架桌,6447,神桌
3093,尪架桌,18287,佛桌
3093,尪架桌,18817,神明桌
3104,尿桸,18506,肥桸
3116,妥當,12826,穩當
3116,妥當,12833,穩觸觸
3116,妥當,19659,穩的
3123,尾聲,2482,收尾
3123,尾聲,18310,尾局
3139,我,593,不才
3139,我,18152,在下
3160,扭尻川,19277,搖尻川花
3162,庇佑,4719,保庇
3185,形勢,7263,情勢
3231,李仔鹹,19684,鹹李仔
3232,杜伯仔,3253,杜猴
3235,批信,3195,批
3245,杜蚓仔,19256,塗蚓
3247,批桶,9130,郵筒
3249,改途,19121,換頭路
3254,批筒,9130,郵筒
3265,把戲,10018,詭計
3265,把戲,19580,戲法
3291,汽水,19030,荷蘭水
3314,沙崙,18339,沙崙仔
3318,束腰,12578,繏腰
3344,育,3376,育飼
3344,育,10286,飼
3345,肝𦟪,19379,隔間肉
3345,肝𦟪,19484,豬肝𦟪
3345,肝𦟪,19485,豬肝連
3347,男子,18343,男人
3347,男子,18347,男兒
3357,育囝,3376,育飼
3357,育囝,18772,晟囝
3357,育囝,18953,教囝
3358,育囡仔,19373,飼囝
3359,育囡仔歌,18345,育囝歌
3364,私奇,18348,私奇錢
3369,肚胿仔,17786,大肚胿仔
3379,禿頭,18352,禿頂
3407,赤牛,18359,赤牛仔
3433,豆油膏,19426,膏豆油
3434,芋泥,18377,芋羹
3448,見笑,904,毋好勢
3448,見笑,1093,歹勢
3451,見笑草,18366,見笑花
3464,豆豉,19476,蔭豉
3470,走揣,18027,四界揣
3472,豆菜,18363,豆芽
3472,豆菜,18371,豆菜芽
3511,豆醬湯,18409,味噌湯
3535,事主,9745,當事人
3547,使弄,4018,拐弄
3547,使弄,10627,煽動
3547,使弄,18729,唆使
3552,佩服,19128,欽佩
3552,佩服,19264,感服
3557,侍候,18416,奉侍
3558,依倚,5770,倚靠
3558,依倚,18387,依靠
3564,佯痟,18385,佯悾佯戇
3564,佯痟,18388,佯顛佯痟
3575,依賴,18724,倚賴
3577,佯顛佯戇,18384,佯悾佯痟
3577,佯顛佯戇,18385,佯悾佯戇
3577,佯顛佯戇,18388,佯顛佯痟
3581,兔,3619,兔仔
3601,卒,3622,卒仔
3611,初一,18927,國一
3619,兔仔,3581,兔
3622,卒仔,3601,卒
3625,刺瓜仔,18390,刺瓜
3630,刺字,3646,刺花
3630,刺字,18401,刺龍
3634,叔伯兄弟,3636,叔伯的
3634,叔伯兄弟,18391,叔伯仔
3655,到時,18763,時到
3662,受袂起,3670,受當袂起
3662,受袂起,17955,毋敢當
3700,囷,3200,把
3700,囷,5990,捆
3701,坩,3705,坩仔
3705,坩仔,3701,坩
3723,咖哩嗹囉,18404,咖哩嗹
3723,咖哩嗹囉,18405,咖哩囉
3734,周圍,1592,四箍輾轉
3734,周圍,18021,四周圍
3735,坦敧,18370,走斜
3735,坦敧,18406,坦斜
3743,呼噎仔,18403,呼呃仔
3743,呼噎仔,18448,拍呃仔
3743,呼噎仔,18472,拍噎仔
3773,夜市,18415,夜市仔
3782,姊妹仔伴,18417,姊妹淘
3792,夜婆,7163,密婆
3792,夜婆,17944,日婆
3800,夜勤,9600,暗班
3800,夜勤,10538,暝工
3800,夜勤,19294,暗穡
3823,孤𣮈絕種,3824,孤毛絕種
3823,孤𣮈絕種,14022,老孤𣮈
3840,店面,3868,店頭
3840,店面,18421,店口
3867,宗親,18173,同宗的
3868,店頭,3840,店面
3868,店頭,18421,店口
3887,彼一日,18425,彼工
3887,彼一日,18426,彼日
3892,怪手,12466,黜塗機
3892,怪手,18602,挖塗機
3915,念珠,19458,數珠
3918,往復,18427,往回
3959,拐,2104,刐
3959,拐,12927,騙
3972,拄䢢,4005,拄好
3973,抹刀,18265,灰匙
3991,拄仔好,4005,拄好
4006,拆字,18447,拆字數
4011,拆扦,5009,指甲扦
4011,拆扦,19206,裂扦
4011,拆扦,19431,遛扦
4015,拍呃,18166,吐呃
4024,拖身拖命,5397,致身命
4024,拖身拖命,7197,帶身命
4024,拖身拖命,18451,拖身命
4035,拍拚,6805,骨力
4035,拍拚,10838,認真
4042,拍金仔,18438,拍手指
4042,拍金仔,18441,拍手環
4042,拍金仔,18455,拍袚鍊
4044,拚俗,18471,拚價數
4056,放毒,17802,下毒
4058,抾紅點仔,18461,抾紅點
4069,放捒,4090,放棄
4076,放粉鳥,18462,放捒人
4081,押送,18749,差押
4090,放棄,4069,放捒
4098,拍喙鼓,8873,答喙鼓
4121,放煙火,18474,放燄火
4123,拋碇,18465,拋船
4128,拚暝工,19429,趕暝工
4161,拍翸,5852,匪類
4164,拆藥仔,6071,敆藥仔
4164,拆藥仔,18476,拆藥
4178,抽鬮,4179,拈鬮
4178,抽鬮,18460,拔虎鬚
4180,拗鬱,18452,拗屈
4181,抾襇,13113,攝襇
4223,東洋,2842,西洋
4240,服裝,5512,衫仔褲
4240,服裝,18683,衫褲
4245,枕頭囊,18482,枕頭套
4245,枕頭囊,18483,枕頭袋
4265,油水,18203,好空的
4283,油炸粿,18484,油條
4290,法場,18295,刣人埔
4296,欣羨,18487,欣慕
4298,沿路,19362,路裡
4328,狀,888,文件
4356,泡茶,18492,泡茶心
4356,泡茶,18493,泡茶米
4364,炕窯,18494,炕塗窯
4368,狗蟻碟仔,18495,狗蟻碗
4410,社頭,19218,鄉社
4411,空頭,13079,齣頭
4439,花坩,18502,花盆
4459,花瓶,4439,花坩
4459,花瓶,4445,花矸
4461,芫荽,18507,芫荽仔
4474,肺癆,18505,肺病
4478,花轎,18663,紅轎
4478,花轎,19424,綵轎
4502,金山,18516,金仔山
4511,金斗,4517,金斗甕仔
4511,金斗,19236,黃金斗甕
4511,金斗,19237,黃金甕仔
4516,雨毛仔,4647,雨霎仔
4516,雨毛仔,14497,霎霎仔雨
4516,雨毛仔,18540,雨鬚
4517,金斗甕仔,4511,金斗
4517,金斗甕仔,19236,黃金斗甕
4517,金斗甕仔,19237,黃金甕仔
4523,門市,18518,門市部
4525,長尻川,18672,重尻川
4536,青竹絲,19728,赤尾鮐
4539,阿伯,18285,伯仔
4540,金含,11842,糖含仔
4540,金含,18522,金含仔
4544,長男,302,大囝
4544,長男,18513,長子
4563,阿舍囝,19303,爺舍囝
4590,金粉,18517,金仔粉
4596,青草仔茶,18531,青草茶
4609,門票,17748,入場券
4613,雨傘節,12830,簸箕甲
4613,雨傘節,18126,白節仔
4613,雨傘節,19312,節仔
4639,青磅白磅,18139,兇兇狂狂
4647,雨霎仔,4516,雨毛仔
4647,雨霎仔,18540,雨鬚
4650,長頷鹿,14531,麒麟鹿
4650,長頷鹿,18537,長頭鹿仔
4655,金鍊仔,18530,金袚鍊
4665,亭,4670,亭仔
4665,亭,18986,涼亭仔
4670,亭仔,4665,亭
4670,亭仔,18986,涼亭仔
4680,侮辱,8537,欺負
4718,前年,19059,頂年
4719,保庇,3162,庇佑
4719,保庇,18550,保佑
4725,卻是,19669,顛倒是
4729,保重,18630,珍重
4758,剃頭,19002,理髮
4760,剃頭店,18564,剃頭仔店
4771,咧,2858,佇
4771,咧,2909,佇咧
4793,哀爸叫母,5827,哭爸哭母
4793,哀爸叫母,18009,叫天叫地
4799,厚重,18240,有重
4808,哎喲喂,18712,俺娘喂
4812,咳嗽,18880,起嗽
4825,姨,378,大姨
4825,姨,4828,姨仔
4825,姨,18075,母姨
4827,契兄,18572,姦夫
4835,姿色,19101,媠䆀
4869,建材行,18326,杉行
4875,屎桶,18581,屎桶仔
4886,峇微,18576,峇文
4888,客話,18580,客家話
4899,思,9422,想
4908,拜一,19625,禮拜一
4926,拜年,2692,行春
4926,拜年,18587,拜正
4926,拜年,19212,賀正
4930,後尾,4935,後來
4930,後尾,4945,後面
4930,後尾,4968,後壁
4951,急症,18594,急病
4956,後場,17929,文武場
4966,怎樣,18586,怎仔樣
5009,指甲扦,4011,拆扦
5009,指甲扦,19206,裂扦
5009,指甲扦,19431,遛扦
5026,是按怎,18165,因何
5026,是按怎,18614,為啥物
5034,施捨,18076,布施
5036,挕掉,12488,擲㧒捔
5036,挕掉,13687,挕捒
5036,挕掉,18601,挕㧒捔
5042,春飯,18521,長年飯
5042,春飯,19352,過年飯
5056,春聯,18538,門聯
5077,某人,5079,某乜人
5093,染色,5590,食色
5093,染色,6955,做色
5093,染色,17777,上色
5102,查某祖,6412,祖媽
5103,查某間,7166,婊間
5103,查某間,9074,趁食間
5103,查某間,9613,暗間仔
5103,查某間,10105,跤梢間仔
5103,查某間,18308,妓女戶
5140,洗身軀間,18789,浴間
5166,活,1842,生
5166,活,1887,生存
5210,派頭,256,大方
5210,派頭,515,大範
5218,疥,18641,疥癬
5235,盼仔,18311,宋盼
5246,相命仙,5332,看命仙
5246,相命仙,18627,相命的
5246,相命仙,19420,算命仙
5256,皇帝,19325,萬歲爺
5256,皇帝,23478,皇上
5277,相換,2080,交換
5277,相換,10477,對換
5277,相換,18622,相交換
5287,相罵,5300,相嚷
5287,相罵,5747,冤家
5287,相罵,17822,大細聲
5289,相請,19486,請客
5293,相親,10469,對看
5293,相親,13797,對相
5293,相親,18649,看親情
5308,看,3385,見
5309,砂,3287,沙
5320,看日,3983,拆日仔
5320,看日,19553,選日
5332,看命仙,5246,相命仙
5332,看命仙,19420,算命仙
5365,紅,3389,赤
5383,胛心肉,19666,襟胸
5383,胛心肉,19740,胛心
5384,紅毛塗,17930,水泥
5394,紅肉李,18652,紅肉內李
5407,致病,6401,破病
5407,致病,18608,染病
5410,紅記記,5417,紅絳絳
5410,紅記記,18651,紅朱朱
5410,紅記記,18656,紅帕帕
5416,胡椒,18658,胡椒粉
5417,紅絳絳,5410,紅記記
5417,紅絳絳,18651,紅朱朱
5417,紅絳絳,18656,紅帕帕
5420,紅塗,18356,赤仁仔塗
5420,紅塗,18650,紅仁塗
5430,耶穌,7119,基督
5430,耶穌,18952,救主
5432,紅龜,5433,紅龜粿
5432,紅龜,18661,紅龜仔粿
5433,紅龜粿,5432,紅龜
5433,紅龜粿,18661,紅龜仔粿
5443,胡蠅紙,5444,胡蠅黐
5443,胡蠅紙,19616,黏黐
5462,茄仔色,18664,茄色
5463,茅仔草,8921,菅草
5463,茅仔草,18668,茅草
5467,若有若無,18243,有敢若無
5472,茄茉菜,18566,厚茉菜
5475,舢舨仔,18667,舢舨
5511,衫仔裾,18671,衫仔裾尾
5515,重句,18673,重舌
5520,限制,18394,制限
5520,限制,19186,結定
5520,限制,26286,限定
5526,訃音,1905,白帖仔
5526,訃音,18680,訃聞
5531,重眠,19050,貪睏
5535,重敧爿,5556,重頭輕
5535,重敧爿,19673,懸低爿
5544,重新,18681,重閣
5578,風水,2363,地理
5591,飛行機,5630,飛船
5591,飛行機,18705,飛機
5593,風吹輪,18706,風翱
5594,風尾,17807,下風
5600,香油,18501,芳油
5601,風波,5603,風雨
5604,食便領現,5629,食清領便
5605,面前,1916,目前
5605,面前,5677,面頭前
5605,面前,7659,眼前
5606,風俗,7767,習慣
5610,面盆,5627,面桶
5622,香烌,12974,爐丹
5627,面桶,5610,面盆
5629,食清領便,5604,食便領現
5630,飛船,5591,飛行機
5630,飛船,18705,飛機
5635,風喙口,5685,風櫃
5635,風喙口,18700,風喙
5635,風喙口,18707,風灌口
5636,風湧,8548,湧
5639,風筒,5689,風灌
5639,風筒,18694,風抽
5641,香菇肉糜,13081,鹹糜
5646,食飯桌,19240,飯桌仔
5650,食暗,18702,食暗飯
5650,食暗,18703,食暗頓
5651,香煙,5580,香火
5691,俺,3401,阮
5691,俺,4776,咱
5696,修正,5698,修改
5696,修正,18711,修削
5699,修面,18713,修喙鬚
5699,修面,19249,剾喙鬚
5748,冤家量債,5287,相罵
5748,冤家量債,11228,盤喙錦
5748,冤家量債,11448,諍喙
5748,冤家量債,18720,冤家勞債
5757,倫理,121,人倫
5778,倒頭行,18263,行倒轉
5778,倒頭行,18279,行翻頭
5786,凍露水,18708,食露水
5798,哺,18731,哺食
5818,原早,1719,本來
5818,原早,2496,早前
5818,原早,10179,較早
5827,哭爸哭母,4793,哀爸叫母
5827,哭爸哭母,18009,叫天叫地
5832,哼哼叫,18733,哼哼呻
5833,唔唔睏,19672,嚶嚶睏
5837,厝頂,14192,厝尾頂
5840,哪著,5013,曷使
5840,哪著,5040,曷著
5840,哪著,18728,哪使
5840,哪著,18735,哪愛
5866,娘仔絲,19713,蠶仔絲
5867,娘仔葉,18770,桑仔葉
5867,娘仔葉,19714,蠶仔葉
5873,套話,18737,套口供
5873,套話,19068,釣話
5873,套話,19455,撈話頭
5914,家事,18744,家內事
5920,展威,18742,展𠢕
5920,展威,18751,展勥
5923,家婆,2332,多事
5925,差教,13970,央教
5929,展開,18469,拍開
5943,害蟲,17985,歹蟲
5964,挩枋,5148,洗衫枋
5964,挩枋,18758,挩枋仔
5979,拳頭拇,5956,拳
5979,拳頭拇,5978,拳頭
5982,挵,11061,撞
6027,時候,6036,時陣
6032,挽脈,4463,糾筋
6032,挽脈,18766,挽搣
6036,時陣,6027,時候
6037,捒做堆,19255,圓房
6046,敆逝,18977,接縫
6054,料想袂到,8659,無疑
6054,料想袂到,8660,無疑悟
6054,料想袂到,19267,想袂到
6062,捙盤,19468,盤捙
6068,捋頭毛,18767,捋頭鬃
6071,敆藥仔,4164,拆藥仔
6071,敆藥仔,18893,配藥
6088,桃,6100,桃仔
6088,桃,6115,桃花
6094,柴刀,6145,柴鍥
6094,柴刀,18781,柴鍥仔
6094,柴刀,19086,割草鍥仔
6096,校工,17764,工友
6100,桃仔,6088,桃
6117,校長,19501,學校長
6120,桌崁,18780,桌罩
6127,晏起來,18779,晏起
6132,柴桶,4088,拔桶
6132,柴桶,17946,水桶
6132,柴桶,18969,捾桶
6144,柴頭尪仔,18769,柴人
6145,柴鍥,6094,柴刀
6145,柴鍥,18781,柴鍥仔
6145,柴鍥,19086,割草鍥仔
6194,浮崙,18786,浮洲
6194,浮崙,18791,浮嶼
6201,海湧,18785,海波浪
6210,海墘,6175,海岸
6232,烏㽎㽎,18796,烏沁沁
6243,烘火,18801,烘燒
6243,烘火,19413,熁燒
6273,烏格仔,18568,厚脣
6273,烏格仔,18569,厚脣仔
6273,烏格仔,18797,烏格
6279,烏甜仔菜,14212,烏子仔菜
6279,烏甜仔菜,18799,烏鬼仔菜
6283,烏魚,18559,信魚
6283,烏魚,18794,烏仔魚
6283,烏魚,19322,聖魚
6291,烏焦瘦,19155,焦瘦
6313,烏蝛,18800,烏蝛仔
6347,畜生,10718,精牲
6353,狼毒,18885,釘毒
6359,病情,18804,病況
6373,盍,5795,哪
6373,盍,18305,呔
6387,破布子,11703,樹子
6387,破布子,18129,甘樹子
6387,破布子,18228,朴子
6414,真誠,2521,有夠
6414,真誠,10116,誠實
6414,真誠,10455,實在
6416,真實,10116,誠實
6416,真實,10455,實在
6416,真實,18096,正實
6425,秤,9137,量
6425,秤,11239,磅
6434,秤仔花,18818,秤花
6436,神去,13423,戇神
6436,神去,18034,出神
6447,神桌,3093,尪架桌
6447,神桌,18287,佛桌
6447,神桌,18817,神明桌
6455,祝賀,5973,恭喜
6455,祝賀,6464,祝福
6464,祝福,5973,恭喜
6464,祝福,6455,祝賀
6491,紗仔,19183,絲仔
6491,紗仔,19184,絲仔布
6497,胸坎,8064,頂腹蓋
6497,胸坎,18831,胸槽
6502,紙枋,4802,厚紙坯
6502,紙枋,18567,厚紙枋
6503,純金,17787,千足
6509,紙扇,9982,葵扇
6509,紙扇,19588,篾扇
6518,純然,448,干焦
6518,純然,19100,單單
6520,紗窗,19678,蠓仔窗
6521,紙篋仔,18829,紙盒仔
6534,茈,1646,幼
6547,茶心粕,18834,茶米粕
6547,茶心粕,18847,茶粕
6547,茶心粕,18850,茶渣
6560,臭耳甕仔,18832,臭耳
6560,臭耳甕仔,18835,臭耳膿
6563,臭屁仙,19508,激屎龜
6564,臭尿薟,18836,臭尿破
6564,臭尿薟,18837,臭尿羶
6567,茶杯,6615,茶甌
6567,茶杯,18841,茶杯仔
6572,舀肥,18764,挹肥
6584,茶莊,18833,茶行
6584,茶莊,18843,茶郊
6597,臭腥,6619,臭臊
6597,臭腥,19611,鮮臊
6598,臭腥公,6573,臭腥仔
6598,臭腥公,18852,臭腥母
6600,臭跤液,18846,臭液味
6600,臭跤液,18853,臭跤液味
6608,草寮仔,18849,草棚
6617,茶館,18840,茶店
6617,茶館,18842,茶室
6619,臭臊,6597,臭腥
6619,臭臊,19611,鮮臊
6624,草藥,12853,藥草
6624,草藥,18855,草藥仔
6625,臭藥丸仔,18435,征露丸
6638,袂收山,18857,袂收尾
6638,袂收山,18858,袂收煞
6653,袂得通,8645,無通
6672,迵,7894,透
6680,起𪁎,6746,起痟
6685,逆子,17865,不孝子
6685,逆子,17867,不肖子
6694,起火,11781,燃火
6706,起行,6747,起程
6727,訕削,6770,訕潲
6727,訕削,18875,訕洗
6739,財神,6741,財神爺
6741,財神爺,6739,財神
6744,財產,5911,家伙
6747,起程,6706,起行
6752,起雄,18878,起殺
6752,起雄,18881,起橫
6757,財源,19559,錢空
6761,起跤動手,18923,動跤動手
6779,逃避,6892,閃避
6779,逃避,18877,逃閃
6801,高,12963,懸
6805,骨力,4035,拍拚
6810,酒仙,19524,燒酒仙
6816,酒母,18894,酒麴
6824,針車,3411,車仔
6824,針車,19208,裁縫車
6849,骨烌,6887,骨頭烌
6850,陣疼,19248,催陣
6862,高貴,8314,尊貴
6862,高貴,9075,貴氣
6867,高粱酒,18891,高粱的
6869,馬鈴薯,19167,番仔番薯
6881,馬齒豆,13340,蠶豆
6881,馬齒豆,19496,齒豆
6885,陣頭,17782,子弟班
6885,陣頭,17783,子弟團
6887,骨頭烌,6849,骨烌
6942,剪布,19205,裁布
6942,剪布,19430,鉸布
6945,偷生的,18344,私生子
6945,偷生的,18903,偷生
6946,做生理,18913,做買賣
6953,做旬,18896,做七
6954,假死假活,6952,假死
6954,假死假活,19511,激悾激戇
6986,停跤,2071,休息
6986,停跤,9664,歇睏
6990,假銀票,18917,假錢
6992,假影,18915,假意
6998,偌濟,18187,多少
7009,匾,18925,匾額
7026,動工,19222,開工
7036,參考冊,18922,參考書
7046,啉茶,14178,食茶
7047,啉酒,18698,食酒
7052,商場,1947,生理場
7084,國中,18389,初中
7090,夠本,7083,夠工
7109,夠氣,10248,過癮
7109,夠氣,19301,煞氣
7159,宿怨,19534,積怨
7163,密婆,3792,夜婆
7163,密婆,17944,日婆
7166,婊間,5103,查某間
7166,婊間,9074,趁食間
7166,婊間,9613,暗間仔
7166,婊間,10105,跤梢間仔
7166,婊間,18509,花間
7166,婊間,18939,娼寮
7170,婊頭,18940,娼頭
7170,婊頭,19103,媌母
7170,婊頭,19107,媌頭
7173,專權,8405,掌權
7173,專權,12792,攏權
7173,專權,19517,獨占
7184,得人疼,7185,得人惜
7185,得人惜,7184,得人疼
7189,崎仔,348,山坪
7189,崎仔,7175,崎
7211,強欲,7209,強強
7218,強搶,9506,搶劫
7220,得罪,7191,得失
7222,帶膭,18975,掛膭
7224,強辯,19272,愛諍
7241,惜囝,18803,疼囝
7253,惜面皮,18947,惜面底皮
7258,悾悾,3907,怐怐
7258,悾悾,9667,歁歁
7258,悾悾,13430,戇戇
7274,徛算,13196,權
7274,徛算,19701,權算
7283,悾顛,19415,瘋顛
7286,挲鹽,4176,抹鹽
7286,挲鹽,18768,捋鹽
7325,捲心白,18950,捲心白菜
7328,掘仔,2372,尖喙掘仔
7328,掘仔,18215,尖掘仔
7335,教示,7368,教訓
7337,掠交替,18017,叫交替
7337,掠交替,18871,討交替
7343,掠沙筋,19454,撓沙筋
7346,敏豆,18022,四季豆
7346,敏豆,18955,敏豆仔
7362,敗家,18814,破家
7367,掖秧仔,18971,掖粟種
7368,教訓,7335,教示
7385,掠猴,18962,掠姦
7388,掠筋,18467,放筋絡
7397,捷運,18225,地鐵
7407,推論,7383,推測
7407,推論,18978,推斷
7425,敗露,6393,破空
7425,敗露,18032,出破
7425,敗露,18964,敗洩
7429,斜,12371,趨
7449,斜目,7457,斜視
7450,斜角,18169,吊角
7450,斜角,19390,對角
7457,斜視,7449,斜目
7457,斜視,18981,斜眼
7515,添丁,1413,出丁
7515,添丁,18116,生後生
7519,深井,837,天井
7519,深井,1081,天窗
7536,淺拖仔,18444,拖仔
7579,牽公,19000,牽猴
7609,球場,18998,球埕
7614,猜想,6053,料想
7614,猜想,7383,推測
7614,猜想,18999,猜測
7630,甜,1839,甘
7634,痔,1539,外痔
7634,痔,7679,痔瘡
7634,痔,17882,內痔
7643,眼力,18136,目識
7644,眾人,717,公眾
7644,眾人,22300,大眾
7655,甜言蜜語,18112,甘言蜜語
7655,甜言蜜語,19088,喙甜舌滑
7679,痔瘡,1539,外痔
7679,痔瘡,7634,痔
7679,痔瘡,17882,內痔
7689,符,7697,符仔
7697,符仔,7689,符
7697,符仔,19005,符仔籙
7697,符仔,19011,符籙
7702,祭孤,3086,孝孤
7702,祭孤,19006,祭孤魯
7707,窒喙空,4880,封喙
7711,硫磺,19586,磺
