詞目id,漢字,羅馬字
4086,所得,sóo-tit
4087,所得稅,sóo-tit-suè/sóo-tit-sè
4097,拍麻雀,phah-mâ-tshiok
4097,拍麻雀,phah-bâ-tshiok
4109,拍結毬,phah-kat-khiû
4122,拍滂泅,phah-pōng-siû
4129,抱歉,phō-khiám
4145,抽豬母稅,thiu-ti-bú-suè/thiu-tu-bú-sè
4158,拋輾斗,phann-lìn-táu
4174,抽籤,liu-tshiam
4178,抽鬮,liu-khau
4182,抽躼,thiu-liò
4204,明仔日,miâ-á-ji̍t/miâ-á-li̍t
4206,明仔早起,miâ-á-tsá-khí
4206,明仔早起,bîn-á-tsái-khí
4207,明仔暗,miâ-á-àm
4208,明仔載,miâ-á-tsài
4211,明年,mâ-nî
4211,明年,muâ-nî
4215,林投姊仔,Nâ-tâu-tsé--á
4222,明星,bîng-sing
4237,林菝仔,ná-pa̍t-á
4239,易經,Ia̍h-king
4245,枕頭囊,tsím-thâu-long
4306,泔糜仔,ám-muâi-á
4319,炒,tsháu
4323,爸,pa
4330,狗𩸶仔,káu-kām-á
4339,狗母,káu-bú
4340,狗母魚,káu-bú-hî/káu-bú-hû
4432,肨奶,hàng-lin
4477,芥藍仔,kè-nê-á
4498,雨,í
4510,虯毛,khiû-moo
4510,虯毛,khiû-môo
4512,門戶,bûn-hōo
4524,阿母,a-bó
4534,長老,tióng-ló
4553,表姊,piáu-tsé
4555,阿姊,a-tsé
4558,阿爸,a-pa
4558,阿爸,a-pâ
4605,迎接,gîng-tsih
4605,迎接,ngiâ-tsih
4632,金榜,kim-póng
4642,迎鬧熱,giâ-nāu-jia̍t/giâ-nāu-lia̍t
4644,迎燈,giâ-ting
4658,門簾,mn̂g-nî
4662,長躼埽,tn̂g-liò-sò
4681,便媒人,piān-muî-lâng
4709,保正,pó-tsìng
4730,冠軍,kuàn-kun
4751,保衛,pó-uī
4771,咧,leh
4793,哀爸叫母,ai-pē-kiò-bó
4804,咧欲,tih-beh/tih-bueh
4833,契母,khè-bó
