詞目id,漢字,羅馬字
21433,上坪溪,Siōng-pênn-khe
21441,貓羅溪,Bâ-lô-khe
21446,頭汴坑溪,Thâu-piān-khenn-khe
21450,東埔蚋溪,Tang-poo-lā-khe
21453,八掌溪,Pat-tsióng-khe
21461,高屏溪,Ē-tām-tsuí-khe(下淡水溪)
21467,武洛溪,Bú-lo̍k-khe
21478,花蓮溪,Hua-lian-khe/Hue-lian-khe
21484,和平溪,Tūa-lô-tsuí-khe(大濁水溪)
21493,天后宮,Thian-hōo-kiong
21496,代天府,Tè-thian-hú
21505,青山國王廟,Tshinn-suann-ông(青山王)
21507,保安宮,Pó-an-king
21540,關渡宮,Kan-tāu-má(干豆媽)
21553,山仔跤,Suann-kha
21565,三重埔,Sam-tiông-poo
21569,大嵙崁,Tuā-kho-khàm
21570,大嵙陷,Tuā-kho-hām
21584,元掌,Guân-tsiáng
21599,牛罵頭,Gû-má-thâu
21612,打狗,Tánn-káu
21625,竹塹,Tik-tsām
21640,和尚洲,Hê-siūnn-tsiu
21641,坪林尾,Pênn-nâ-bué
21669,後壁厝,Āu-piah-liâu(後壁寮)
21679,苓仔寮、能雅寮,Lîng-ngá-liâu
21688,桃仔園,Thô-á-huînn
21699,馬大安,Ma-tá-án
21708,梅仔坑,Muî-á-khenn
21710,笨港,Pūn-káng
21749,楠仔坑,Lâm-á-khe
21759,槓仔寮,Khòng-liâu
21761,漳和,Tsiong-hô
21768,諸羅山,Ti-ló-sán
21772,樹林口,Tshiū-nâ-á-kháu
21773,璞石閣,Phoh-si̍h-koh
21776,蕭壟,Siau-lâng
21777,貓公,Bâ-káng
21778,貓里,Bâ-lî
21798,鹹菜甕,Kiâm-tshài-pênn(鹹菜棚)
21851,成,Sîng
21860,余,Î
21863,吳,Gôo
21865,宋,Sàng
21897,邵,Siāu
21900,俞,Jî
21929,唐,Tông
21930,夏,Hā
21934,孫,Sng
21949,翁,Ong
21954,馬,Bé
21979,章,Tsiong
21982,莫,Bo̍k
22001,焦,Tsiau
22003,童,Tông
22005,費,Pì
22023,鄒,Tsoo
22041,樊,Hân
22058,蕭,Sio
22064,駱,Lo̍k
22066,龍,Liông
22072,謝,Siā
22073,鍾,Tsiong
22092,鐘,Tsiong
28039,汐止,Si̍p-tsí
28039,汐止,Tsuí-tńg-kha
